 [1] "isnt ultimate sign movies cinematic ineptitude cant think much say sucks "                                                                                
 [2] "one first official year releases supernova movie "                                                                                                        
 [3] " cant seem get past oneword adjectives one although boring stupid absurd doesnt amount much review "                                                      
 [4] " shame "                                                                                                                                                  
 [5] " able save chore desperately trying elaborate "                                                                                                           
 [6] " cest la vie "                                                                                                                                            
 [7] " goes nothing "                                                                                                                                           
 [8] "ill keep short "                                                                                                                                          
 [9] " suppose first bad omen supernova came director walter hill hours removed name movie requesting replaced pseudonym thomas lee "                           
[10] " films fate sealed many minds struggling studio mgm declined screen press event usually signifying studios lack confidence particular movie "             
[11] "hills mgms actions prudent "                                                                                                                              
[12] " captain medical space vessel nightingale dies tragic hyperjump accident reformed drug addict also first officer reason james spader forced take command "
[13] " ship picks distress call nearby planet arrival picks one survivor apparent accident abandoned mining colony "                                            
[14] "one crew members angela bassett knows passenger played peter facinelli bad feelings know means "                                                          
[15] " intergalactic hitchhiker carrying mysterious cargo jellylike substance purpose unknown though seems bring form pleasure whoever touches "                
[16] "another one crew members experiences first hand spending minutes partially inside glob goo impressive handstand pushups "                                 
[17] "evidently touching enigmatic eggshaped thingie makes younger stronger "                                                                                   
[18] " "                                                                                                                                                        
[19] " "                                                                                                                                                        
[20] " movie never bothers explain "                                                                                                                            
[21] "soon enough though spader bassett running around ship like mad chased allofasuddensuperhuman facinelli "                                                  
[22] " honest dont even remember exactly "                                                                                                                      
[23] " just remember didnt care "                                                                                                                               
[24] "supernovas plot suggested less interesting ideas ball goo intergalactic time bomb dropped chance develop anything truly intriguing "                      
[25] " fact everything dropped just actors can fun running around looks like elaborate set "                                                                    
[26] "well effects good though theres hardly studio movie bad special effects days im sure whether thats remarkable accomplishment "                            
[27] " performances hardly worth talking "                                                                                                                      
[28] "im even sure can call whats performances though angela bassett sure good giving people finger "                                                           
[29] "james spader bad actor proves one blandest action stars ive seen mostly isnt given character personality "                                                
[30] " action scenes just bland since theyre pretty much just rehashes action elements werent particularly entertaining first time around "                     
[31] " since action scenes everything movie pretty much dead water "                                                                                            
[32] " life cant figure called supernova "                                                                                                                      
