  [1] " following review contains spoilers "                                                                                                                                                                                                                                                                                 
  [2] " just "                                                                                                                                                                                                                                                                                                               
  [3] " way "                                                                                                                                                                                                                                                                                                                
  [4] " "                                                                                                                                                                                                                                                                                                                    
  [5] " rapist matt frewer responds supergirls helen slater query shes attacked example mindnumbingly bad dialogue supergirl "                                                                                                                                                                                               
  [6] "ill admit "                                                                                                                                                                                                                                                                                                           
  [7] " love superman iii "                                                                                                                                                                                                                                                                                                  
  [8] " know hated amongst superman faithful dismiss nothing vehicle richard pryor still think worthy addition man steel franchise "                                                                                                                                                                                         
  [9] "supergirl spinoff film sorts series producers alexander ilya salkind doesnt even rival superman iii terms quality let alone superman superman ii "                                                                                                                                                                    
 [10] "supergirl lost opening scenes went steadily downhill rest two hour plus running time "                                                                                                                                                                                                                                
 [11] " film begins see residents argo city commune like place consisting refugees krypton resides inner space go daily lives "                                                                                                                                                                                              
 [12] "ok "                                                                                                                                                                                                                                                                                                                  
 [13] " "                                                                                                                                                                                                                                                                                                                    
 [14] " exiles krypton blew right "                                                                                                                                                                                                                                                                                          
 [15] " living krypton exploded "                                                                                                                                                                                                                                                                                            
 [16] " get inner space "                                                                                                                                                                                                                                                                                                    
 [17] " whole inner space notion never explained particularly terms people get information outside world "                                                                                                                                                                                                                   
 [18] " know superman went "                                                                                                                                                                                                                                                                                                 
 [19] " know took name clark kent now works daily planet "                                                                                                                                                                                                                                                                   
 [20] " kinds things frustrate hell "                                                                                                                                                                                                                                                                                        
 [21] "argo city kept running power source called omegahedron "                                                                                                                                                                                                                                                              
 [22] "one day founder argo city zaltar peter o toole gives omegahedron supermans cousin kara helen slater use inspiration art "                                                                                                                                                                                             
 [23] "kara uses create buglike thing immediately crashes layer whatever protects city "                                                                                                                                                                                                                                     
 [24] " chaos omegahedron sails opening dooming argonians death "                                                                                                                                                                                                                                                            
 [25] " three days time something "                                                                                                                                                                                                                                                                                          
 [26] "kara climbs pod zaltar designed interdimensional travel chases omegahedron save world "                                                                                                                                                                                                                               
 [27] " power source travels directly earth lands bowl dip belonging minorleague witch named selena faye dunaway immediately dip ruined announced desires rule world sometimes warlock boyfriend nigel peter cook "                                                                                                          
 [28] "selena somehow knows ball sky will help evil plans sets achieve world domination "                                                                                                                                                                                                                                    
 [29] "selena unaware course kara also arrived earth shes arrived supergirl complete appropriate costume "                                                                                                                                                                                                                   
 [30] "supergirl emerges bottom lake arrives "                                                                                                                                                                                                                                                                               
 [31] "ok "                                                                                                                                                                                                                                                                                                                  
 [32] "huh "                                                                                                                                                                                                                                                                                                                 
 [33] " omegahedron fall sky supergirl shoots bottom lake "                                                                                                                                                                                                                                                                  
 [34] "attention movie explain "                                                                                                                                                                                                                                                                                             
 [35] "im sorry can suspend disbelief much "                                                                                                                                                                                                                                                                                 
 [36] " cant buy nonsense just movie wants "                                                                                                                                                                                                                                                                                 
 [37] "knowing needs secret identity supergirl basically wills school girl outfit complete different hairstyle picks alias linda lee enrolls school "                                                                                                                                                                        
 [38] "shes given dorm assignment happens roommate "                                                                                                                                                                                                                                                                         
 [39] "lois lanes sister lucy "                                                                                                                                                                                                                                                                                              
 [40] "ok coincidence one thing folks getting really contrived now "                                                                                                                                                                                                                                                         
 [41] " follows generic allgirls school hijinks "                                                                                                                                                                                                                                                                            
 [42] "complete evil bully girls mean reason course even shower scene "                                                                                                                                                                                                                                                      
 [43] "best moment though comes supergirl decides put bra school uniform starts stuffing socks "                                                                                                                                                                                                                             
 [44] " point im rapidly wondering im bothering nonsense "                                                                                                                                                                                                                                                                   
 [45] " credit give film however "                                                                                                                                                                                                                                                                                           
 [46] "one lengthy elaborate sequence featuring evil bulldozer destroying small town search prey well done "                                                                                                                                                                                                                 
 [47] "also commendable see genders reversed film whereas women power men merely objects tools "                                                                                                                                                                                                                             
 [48] "hart bochner die hard particularly fun karas love interest lovesick landscaper spell cast selena although unfortunately part one films ridiculous moments rescued tapped menacing bumper cars "                                                                                                                       
 [49] " numerous little things bothered "                                                                                                                                                                                                                                                                                    
 [50] " flying effects never convincing moment "                                                                                                                                                                                                                                                                             
 [51] " obvious helen slater hooked wires "                                                                                                                                                                                                                                                                                  
 [52] "instead look like shes flying filmmakers wanted graceful poses lot ballettype maneuvers "                                                                                                                                                                                                                             
 [53] "also first two humans meet supergirl arrives earth "                                                                                                                                                                                                                                                                  
 [54] " pair truck driversrapists immediately attack meet wacky demise "                                                                                                                                                                                                                                                     
 [55] " also rampant product placement film notably popeyes tylenol aw root beer latter actually putting logo tshirt one rapists "                                                                                                                                                                                           
 [56] "finally just one word monsters "                                                                                                                                                                                                                                                                                      
 [57] "faye dunaway peter otoole ham unmercifully however otoole overacts hes entertaining dunaway shes annoying character actually says line seize "                                                                                                                                                                        
 [58] " one point "                                                                                                                                                                                                                                                                                                          
 [59] "dunaways henchmen played peter cook brenda vaccaro fare much better vaccaro coming best equivalent ned beattys otis character first two superman movies "                                                                                                                                                             
 [60] "helen slater effectively portrays supergirl innocent naive character shes written shes able gaze flowers bunnies right amount genuine wonder make believable "                                                                                                                                                        
 [61] "believability aside though still annoying "                                                                                                                                                                                                                                                                           
 [62] "now despite negativity im alone supergirl well liked well respected movie many circles leave good people anchor bay entertainment actually make people interested excited release dvd "                                                                                                                               
 [63] " released two separate editions film dvd delight many people including "                                                                                                                                                                                                                                              
 [64] "yet im still unclear since movie awful "                                                                                                                                                                                                                                                                              
