 [1] " yettobereleased krippendorfs tribe marketed family comedy buyer beware "                                                                                                                                                                                                                                                      
 [2] " movie cant make mind "                                                                                                                                                                                                                                                                                                        
 [3] " family comedy vulgar references male female bodies menstruation circumcision sex make parents squirm thought child next "                                                                                                                                                                                                     
 [4] " adult comedy approached immaturity adolescents will appreciate effort "                                                                                                                                                                                                                                                       
 [5] "either way unbalanced word stamp hit miss miss miss effort "                                                                                                                                                                                                                                                                   
 [6] " premise catchy widowed anthropology professor james krippendorf richard dreyfuss spent past two years getting death wife neglecting key research squandering grant money personal living expenses "                                                                                                                           
 [7] "now time show hes achieved two years absolutely nothing show "                                                                                                                                                                                                                                                                 
 [8] " fabricated tale studying previously undiscovered tribe new guinea krippendorf petitions new funds hiding fact previous grant spent trips mcdonalds "                                                                                                                                                                          
 [9] " discovery becomes latest craze among colleagues professor finds must talk tribe must create "                                                                                                                                                                                                                                 
[10] " aid three children headstrong teen shelly natasha lyonne everyone says love slightly younger mickey gregory smith nineyearold edmund carl michael lindner shelmikedmu tribe named first half childs name born videos quickly produced krippendorfs backyard passed stunning documentary footage newly found new guinea tribe "
[11] "despite professors wishes buzz surrounding discovery grows due greatest part veronica micelli jenna elfman overly vivacious voluptuous anthropologist barges way discovery basically deems krippendorfs main assistant "                                                                                                       
[12] "hungry recognition micelli sets interviews lectures etc effort make biggest sociological event history sure fire way go history books "                                                                                                                                                                                        
[13] "krippendorf hand seeing go jail cell corridor history books new lecture must come something impressive unleash tribe mating habits domestic structure etc thru fumbling improvisation often quick thinking oldest son krippendorf makes thru new lecture creates interest highly unique tribe "                                
[14] " opposing end krippendorfs arch rival ruth allen lily tomlin arrogant professor whose jealousy drives mission disprove existance nonexistent tribe "                                                                                                                                                                           
[15] " cute idea approached subtle mature style krippendorfs tribe couldve real winner "                                                                                                                                                                                                                                             
[16] "sadly mostlymisfired toilet humor overly comical musical score bruce broughton sugar coated sentiments key ingredients family comedy just arent right tone film "                                                                                                                                                              
[17] "cut crap add razor sharp dialogue witty sociological perceptions youve got good start "                                                                                                                                                                                                                                        
[18] " state now youve got something along lines medicine man meets mrs "                                                                                                                                                                                                                                                            
[19] "doubtfire meets dumb dumber thats concoction anyone overly anxious try "                                                                                                                                                                                                                                                       
[20] " overall product highly forgettable cup average laughoutloud moments great big gap "                                                                                                                                                                                                                                           
[21] " characters surprisingly twodimensional one seems exhibit real acting effort lyonne seems go greatly unappreciated "                                                                                                                                                                                                           
[22] "director todd holland gone making film wrong ways "                                                                                                                                                                                                                                                                            
[23] " stuck limbo disney family fare jungle jungle potentially hilarious adult comedy fish called wanda "                                                                                                                                                                                                                           
[24] " unbalanced structure really knocks grade brutal drop "                                                                                                                                                                                                                                                                        
[25] " strong warning parents forget impression given advertisements want take kids film woman asking man finds attractive merely shes holding penis "                                                                                                                                                                               
[26] "yes put bluntly "                                                                                                                                                                                                                                                                                                              
[27] "just warned merely one example many shocking subjects brought film others might tame "                                                                                                                                                                                                                                         
