 [1] " know never really wondered tarzan films like tarzan old man "                                                                                                                                
 [2] " watching instinct couldnt help acknowledge way film carelessly rehashes wellexplored themes earlier movies "                                                                                 
 [3] "even beside tarzan comparison instinct just isnt good film "                                                                                                                                  
 [4] " painfully idealistic manipulative silly "                                                                                                                                                    
 [5] " didnt hate simply impossible hate film starring anthony hopkins furthermore acting quite good "                                                                                              
 [6] " can recognize instinct beyond subjective admiration actors involved "                                                                                                                        
 [7] " can also recognize reasons wanting make instinct pretty clear good film massive script overhaul director less interested imitating movies like patch adams "                                 
 [8] "things start predictable way director jon turtletaub introduces us hero theo caulder cuba gooding jr ambitious young psychiatrist supervision experienced old psychiatrist donald sutherland "
 [9] "caulder soon finds involved case life one thinks will make famous "                                                                                                                           
[10] " subject ethan powell hopkins anthropologist living among gorillas africa past two years "                                                                                                    
[11] "powell charged brutal murders several men africa now caulders job find hes mentally competent enough stand trial "                                                                            
[12] " series short sessions caulder tries put together complex psyche powell "                                                                                                                     
[13] "even though really old man version tarzan much central idea rather interesting "                                                                                                              
[14] " said hopkins captivating every second hes screen way convincing us hes acting hes actually man just spent two years life living family wild gorillas "                                       
[15] " character isnt interesting hes just anthropologist really likes gorillas hopkins makes interesting subtleties speech action "                                                                
[16] "gooding jr strong work opposite hopkins playing caulder intelligent flawed individual "                                                                                                       
[17] " screenplay written gerald di pego suggested novel daniel quinn gives us background information caulder seems point time friends hes obsessed work "                                          
[18] "nonetheless two actors essentially entire list things good instinct "                                                                                                                         
[19] "unfortunately filmmaking inept can mangle effect even best acting "                                                                                                                           
[20] "turtletaub di pego guilty instincts artistic failure work together make dumbest clicheridden environment characters live means brainless subplots "                                           
[21] "first prison warden subplot "                                                                                                                                                                 
[22] " prison warden evil wants stop caulders progress cost means taking caulder powell case thats fine "                                                                                           
[23] "theres also prison guard subplot "                                                                                                                                                            
[24] " prison guard played john ashton prison guard seems enjoy mercilessly beating upon psychotics supervision hes instrumental helping story along obvious conclusion "                           
[25] " theres daughter subplot maura tierney playing daughter must look upset lot time daughter deranged man "                                                                                      
[26] " stuff sounds familiar thats theyre devices used reused countless films "                                                                                                                     
[27] " evil doctor patch adams unlike evil warden "                                                                                                                                                 
[28] " offensive caricatures mental patients lack depth similar portrayals one flew cuckoos nest "                                                                                                  
[29] "ashtons evil prison guard pales comparison clancy browns shawshank redemption "                                                                                                               
[30] "hopkins performance will undoubtedly remind audiences turn silence lambs "                                                                                                                    
[31] " theres whole tarzan thing little bit obvious entire film "                                                                                                                                   
[32] "perhaps irritates instinct halfhearted attempt philosophical depth "                                                                                                                          
[33] " message powell brings back wild subtle one thinks humans takers expand kill just live like gorillas "                                                                                        
[34] " can sympathize compelling film "                                                                                                                                                             
[35] " kind stupid movie just like patch adams big group characters psychotic inmates case rise evil forces oppressing tearing playing cards "                                                      
[36] " man just spent two years life gorillas "                                                                                                                                                     
[37] " subplots instinct left cutting room floor thirtyminute movie far superior twohour one watched today "                                                                                        
[38] " central idea developed beyond old man tarzan premise really something interesting movie doesnt rely strength actors "                                                                        
