 [1] "come hollywood surprise "                                                                                                              
 [2] "stop giving us poorly written thrillers banal dialogue sketchy characters plots predictable sunset "                                   
 [3] " always watchable morgan freeman plays detective becomes personally involved case involving missing girls "                            
 [4] "personal niece one victims "                                                                                                           
 [5] " slobbering psychopath course time theres twist "                                                                                      
 [6] "freeman notes young women whove disappeared strong willed assertive successful careers average girl "                                  
 [7] " soon learn guy calls casanova whose aim dominate modern gals imprisoning dungeon keeping personal harem "                             
 [8] "anyway one women manages escape ashly judd teams freeman well "                                                                        
 [9] " know rest "                                                                                                                           
[10] " brief glance plot silence lambs film constantly compared hype merchants may suggest lambs also fairly predictable story "             
[11] "perhaps film also superbly drawn characters smart dialogue "                                                                           
[12] " lets insult great movie taking comparisons okay "                                                                                     
[13] " comparisons seven oh "                                                                                                                
[14] "please "                                                                                                                               
[15] "kiss girls based novel james patterson written screen one david klass "                                                                
[16] "maybe novel stinker start whatever case writing thats clearly fault "                                                                  
[17] "one characters little say thats engaging interesting "                                                                                 
[18] "two script sense humour "                                                                                                              
[19] "three notion psychos victims smart successful women interesting twist execution isnt even half good idea "                             
[20] "thus ashly judd comes across focus instead heart story "                                                                               
[21] " cant feel rage "                                                                                                                      
[22] " atrociously written casual exchanges several male characters supposed remind us shes nobullshit s type conversations barely register "
[23] " freeman kiss girls second dog year first chain reaction now "                                                                         
[24] " actor calibre worrying "                                                                                                              
[25] "young director gary fleder scored hit years back quirky pulp fictionesque things denver dead "                                         
[26] " can material resolutely mediocre "                                                                                                    
[27] " much can hardly blame "                                                                                                               
[28] "theres wellstaged chase scenes forest camera whirls dives jumps effect startling "                                                     
[29] " script beyond rescue "                                                                                                                
[30] " hurts hollywood continues get away serving tripe safe knowledge jaded audiences will lap "                                            
[31] "complacency rules long since saw mainstream american thriller delivered juicy characters real surprises consistently sharp dialogue "  
[32] " consolation viewer ticket movie freebie positive proof best things life arent free "                                                  
[33] " "                                                                                                                                     
