 [1] " followup disneys liveaction dalmatians thats better entertaining first "                                                                                                                                                                                                                                                                
 [2] "just unlikely "                                                                                                                                                                                                                                                                                                                          
 [3] " dalmatians disney studios proven comes going dogs definitely merrier "                                                                                                                                                                                                                                                                  
 [4] "s dalmatians certainly wasnt greatest moviegoing experience time feature glenn close outrageous largerthanlife performance "                                                                                                                                                                                                             
 [5] " addition two amiable leads form jeff daniels joely richardson lots lots adorable spotted puppies "                                                                                                                                                                                                                                      
 [6] " time around seem fewer puppies screen closes facial physical gyrations starting feel old yearold actress startling black white wig "                                                                                                                                                                                                    
 [7] " thats half problem kevin limas laborious film "                                                                                                                                                                                                                                                                                         
 [8] " makes dalmatians collosal bore embarrassing attempts humor almost singlehandedly foisted wisecracking macaw thinks hes dog voiced eric idle rabid plotlessness cruella goes puppies winds goo incredibly wooden actors plays romantic heroes piece welshman named ioan gruffudd blanderthanbland alice evans parole officer named chlo "
 [9] "gruffudd cute harmless perhaps evans cant even aspire "                                                                                                                                                                                                                                                                                  
[10] " dogs upstage course case evans even closes split ends animated "                                                                                                                                                                                                                                                                        
[11] "bad acting however seems requirement sequel since g rard depardieu shows french furrier haircut like robert de niros men honor "                                                                                                                                                                                                         
[12] "jean pierre le pelt flamboyant fashion designer penchant fine furs depardieus overthetop antics mimic campy close flail flail wail wail "                                                                                                                                                                                                
[13] "frances popular export besides brie long since turned caricature dalmatians producers milk realization worthle pelt likes refer furry little critters poopies par example ad nauseum "                                                                                                                                                   
[14] " finesses script attributed four screenwriters less far removed anything dodie smith ever dreamed quickly dispensed since takes paroled cruella shaken years successful aversion therapy slammer tolling big ben "                                                                                                                       
[15] " done back mansion roll around heretofore offlimits sables minks plan skin little dahlings sake hooded designer gown "                                                                                                                                                                                                                   
[16] " dogs pretty cutetry making puppy look otherwisebut thats pretty much "                                                                                                                                                                                                                                                                  
[17] "theres always feeling theres trainer wings coaxing dogs open doors pick food bowls unison pop tape videocasette recorder "                                                                                                                                                                                                               
[18] "savvy holiday goers skip dalmatians pop original animated classic vcrs instead "                                                                                                                                                                                                                                                         
[19] " one dalmatian less satisfying "                                                                                                                                                                                                                                                                                                         
