 [1] " americas sweethearts intriguing premise great cast isnt nearly edgy funny "                                                                                                                                               
 [2] "almost problems project can traced back coscript writer billy crystal shows lack discipline screenplay typically displays cohosting comic relief charity shows robin williams whoopi goldberg two paragons selfindulgence "
 [3] "crystal ignores simple crucial rule screwball comedy work characters must placed rigid social setting context will unorthodox antics humorous "                                                                            
 [4] " americas sweethearts takes place press junket decorum must maintained front reporters "                                                                                                                                   
 [5] " promising setup screenplay quickly blows rules thus dissipating tension situation "                                                                                                                                       
 [6] " end film lead performers participate huge fight room full journalists looking outbursts mildly amusing structure destroyed "                                                                                              
 [7] "john cusack catherine zetajones play eddie thomas gwen harrison beloved acting duo whose marriage hit skids gwen began seeing hector hank azaria spanish actor ego almost pronounced lisp "                                
 [8] " last nine films eddie gwen made together six crossed million mark prospects final effort space opus titled time time far rosy "                                                                                           
 [9] " eddie spent many months new age rest clinic fretting breakup gwens solo films tanked "                                                                                                                                    
[10] " make matter worse director movie christopher walken visionary purchased unabombers cabin moved backyard withholding film studio insisting first screening held junket "                                                   
[11] "desperate win press studio elects hire lee billy crystal recently fired publicist salvage situation "                                                                                                                      
[12] "lee hopes turn lemons lemonade convincing eddie gwen pretend road reconciliation "                                                                                                                                         
[13] " enlists help kiki julia roberts gwens sister personal assistant whipping girl "                                                                                                                                           
[14] " lee doesnt know kiki love eddie fact temper effectiveness "                                                                                                                                                               
[15] "press junkets haven control freaks "                                                                                                                                                                                       
[16] "studios fly journalists around world put plush hotel food drink always hand "                                                                                                                                              
[17] "generally evening arrival writers bussed see featured film ferreted straight back hotel "                                                                                                                                  
[18] " next day writers go studio suites assemble groups five six roundtable interviews "                                                                                                                                        
[19] "every minutes producer director writer actor brought room minutes questions publicist hovering corner keep eye things "                                                                                                    
[20] " atmosphere one cordial oppression writers free ask want understand studio dislikes question may invited future junkets "                                                                                                  
[21] "representatives tv stations face even restrictions "                                                                                                                                                                       
[22] " get roughly five minutes interview member cast crew studio filming exchanges "                                                                                                                                            
[23] " reporters notorious tossing softball questions suck stars play safe studios stand ready erase tapes anything unpleasant occurs "                                                                                          
[24] "placing two spoiled actors setting image everything inspired screenplay undermines conceit "                                                                                                                               
[25] " junket moved handsome highly confining four seasons hotel plush resort near las vegas "                                                                                                                                   
[26] " film movie stars run around sprawling grounds completely safe eyes press "                                                                                                                                                
[27] " deal journalists imperative best behavior front reporters premise declawed "                                                                                                                                              
[28] "gwen eddie insult tv cameras roll scream restaurant filled media screening movie everyone connected film goes nuts without repercussions "                                                                                 
[29] "lee certainly isnt bothered infantile outbursts fact makes arrangements footage even inappropriate behavior delivered tabloids "                                                                                           
[30] " studio angry handling combative actors "                                                                                                                                                                                  
[31] "hell feel lee genius garnering much publicity movie "                                                                                                                                                                      
[32] " underscores billy crystal cowriter peter tolan screwed premise comedy americas sweethearts based barelyincontrol people trying contain presence reporters except doesnt matter publicity good publicity "                 
[33] " thus setup film implodes leaving smoke dust place laughter "                                                                                                                                                              
[34] " cast "                                                                                                                                                                                                                    
[35] "julia roberts best playing underdog utterly charming although lived without flashbacks exist solely excuse show fat suit convincing one way "                                                                              
[36] "catherine zetajones makes believable brat john cusack fleshes obsessed character enough make vaguely sympathetic "                                                                                                         
[37] " casting publicist billy crystal allows roughly thing comic relief stay sidelines action tossing cornball jokes snarky remarks "                                                                                           
[38] " supporting roles hank azaria wears welcome fast broad gestures spanish accent speedy gonzales deemed broad "                                                                                                              
[39] "seth green amusing toadie stanley tucci good ruthless studio head christopher walken plays eccentric director suitable flair though little work "                                                                          
[40] "come think little work operative phrase movie "                                                                                                                                                                            
[41] " hollywood satire americas sweethearts toothless "                                                                                                                                                                         
[42] " romance best minor pleasure "                                                                                                                                                                                             
[43] " good cast waste efforts "                                                                                                                                                                                                 
[44] " taken long ago better title film much ado nothing "                                                                                                                                                                       
