 [1] " title taken writings ralph waldo emerson describing life traveler anywhere "                                                                                                                              
 [2] " isnt one thing motherdaughter relationship melodrama felt honest "                                                                                                                                        
 [3] " relies contrived minor character tell mother daughter obvious order straighten dysfunctional lives reason couldnt figure "                                                                                
 [4] " film looks familiar slums beverly hills went ground fortunate comical perceptive due alan arkin natasha lyonne performances fortunate much sharper script work "                                          
 [5] "alvin sargents script weak annoyingly claustral "                                                                                                                                                          
 [6] "wayne wangs joy luck club inept direction made weak script even weaker inability tell story unfolding without voiceover relating action couldnt convey "                                                   
 [7] "pushy mother adele august susan sarandon forces yearold daughter ann natalie portman leave small midwestern burg go crosscountry beverly hills "                                                           
 [8] " daughter resents twice divorced unstable exotic schoolteacher mother bullying actress means escaping humdrum life "                                                                                       
 [9] " daqughter doesnt even like used gold mercedes mother buys drive lala land cant stand beach boys records mom enjoys hearing car radio "                                                                    
[10] " becomes question knows best ladies fight predictable sweet ending comes yawner "                                                                                                                          
[11] "adeles dream greener pastures beverly hills soon doesnt look good lands job slum school precious car scratched unruly kids settles job hates order financially survive "                                   
[12] "daughter pines small town wisconsin friends "                                                                                                                                                              
[13] " one many arguments freespirited mom go ice cream mother ticketed runs away chased friendly traffic cop michael milhoan offers wise counsel "                                                              
[14] " cops zen wisdom passed onto daughter will survive living many different addresses beverly hills reaches plans get way mom using good grades go brown university instead ucla "                            
[15] " stay beverly hills grows feeling awkward beverly hills high immediately many high school girlfriends even high school rich boy admirer t s "                                                              
[16] "eliot corbin allred reader "                                                                                                                                                                               
[17] " transition life beverly hills feel reality everything seemed staged unemotional "                                                                                                                         
[18] " learns cousin benny shawn hatosy happens best friend dies traffic accident back wisconsin returns funeral reunion scenes wasnt clearly shown wants stay matter never made clear mother wants leave badly "
[19] " film one big battle wills mother daughter dreams "                                                                                                                                                        
[20] " guess filmmaker trying say mom bad dreamer daughter observant one able recognize mothers faults growing pains need parenting "                                                                            
[21] "mother series setbacks like dumped dreamboat dentist bochner met beach witnessing daughter mimic whiny optimistic sayings trying acting part "                                                             
[22] " mother learns daughter grownup independent stop living life "                                                                                                                                             
[23] " learns wise cop told ann ticket time will remind mother right thing "                                                                                                                                     
[24] " course results corny ending showing moms heart always right place went wrong way "                                                                                                                        
[25] " just one films want anywhere theater film showing "                                                                                                                                                       
