 [1] " warned "                                                                                                           
 [2] " following review contains harsh language "                                                                         
 [3] " blair witch project "                                                                                              
 [4] "quite possibly least scariest movie time "                                                                          
 [5] " want see real terror big screen go back watch scene jar jar binks phantom menace movie scary even remotely creepy "
 [6] " colleague friend chuck dowling wrote less blair witch filmmakers must thought nothing "                            
 [7] " worked "                                                                                                           
 [8] "well im sorry nothing "                                                                                             
 [9] " nothing "                                                                                                          
[10] "nothing "                                                                                                           
[11] " nothiiiiiinggggggggggg "                                                                                           
[12] " pay dollars see nothing "                                                                                          
[13] " nothing free available around world location near "                                                                
[14] " absolutely amazement people find movie scary "                                                                     
[15] " just discount say well guess just pansy chicken shits probably scared shadow "                                     
[16] " intelligent friends like movie doesnt hold water "                                                                 
[17] " must reason "                                                                                                      
[18] " maybe first thought correct think ill try pointing shadow one day test reaction "                                  
[19] " hear people praising film never hear talking makes movie three kids bickering lost "                               
[20] " talk might make possibly minutes screen time "                                                                     
[21] " short night scenes kids hear unscary sounds another shout josh "                                                   
[22] " "                                                                                                                  
[23] " film called blair witch project accurately called three dumb pisspoor filmmakers get lost "                        
[24] " argue "                                                                                                            
[25] "oh ladies gentlemen will scared hear shouting josh "                                                                
[26] " thought scary wait till see pile rocks tinkertoy lincoln logs oh dear lord will pissing pants fear "               
[27] "oh yeah goo one backpacks "                                                                                         
[28] "youve never seen terror like folks dont want "                                                                      
[29] " chevy chasegoldie hawn comedy foul play creepier film "                                                            
[30] " current films highly recommend sixth sense stir echoes creepy filmgoing experience "                               
[31] " film example marketing substance "                                                                                 
[32] " marketing brilliant whole nation awe just premise film "                                                           
[33] " want film good "                                                                                                   
[34] " think reaching praising wrong movie dont anything else praise "                                                    
[35] " wonderful film rejuvenates horror genre may come along "                                                           
[36] " film much better "                                                                                                 
[37] "just think maybe minutes arguing lost minutes nighttime stuff "                                                     
[38] " saw movie girl extremely pumped "                                                                                  
[39] " sold film "                                                                                                        
[40] " one point turned asked "                                                                                           
[41] " supposed scared "                                                                                                  
[42] "ive heard one opinion use imagination create fear movie "                                                           
[43] "well thought filmmakers supposed "                                                                                  
[44] "use imagination create good movie "                                                                                 
[45] " mean anyone can use imagination pay bucks "                                                                        
[46] " even like idea imagining "                                                                                         
[47] " entity called blair witch "                                                                                        
[48] " rednecks fucking kids "                                                                                            
[49] " either things really scary think "                                                                                 
[50] "ive heard several people say movie makes recall scary can woods hear something "                                    
[51] "well sure thats scary real life lot things scary real life scary movie even interesting "                           
[52] " sit house see snake spider scary film wouldnt "                                                                    
[53] " movie need big budget cgi special effects scary creepy "                                                           
[54] "actually less better see equally awful remake haunting "                                                            
[55] " something "                                                                                                        
[56] " cant just count us nostalgic memories something like scary real "                                                  
[57] " way shakycam filming blair witch "                                                                                 
[58] "arent supposed filmmakers know point camera shoot something without shaking camera constantly "                     
[59] "im even talking couple scenes terrified thats justified "                                                           
[60] "im talking minutes movie cant seem shoot anything smoothly "                                                        
[61] "minor quibble "                                                                                                     
[62] " feeling people like movie suckers "                                                                                
[63] " filmmakers just laughing asses way bank "                                                                          
[64] " think good chance will see film say thinking "                                                                     
[65] " dont thats fine "                                                                                                  
[66] " works thats okay guess "                                                                                           
[67] " just lament making movie hit going subjected nothing approach "                                                    
[68] "pretty soon going get movies like just still shot prison jail cell "                                                
[69] " minutes "                                                                                                          
[70] " well use imagination think god wouldnt scary spend life prison "                                                   
[71] " movie scariest movie time "                                                                                        
[72] " shot coffin funeral directors arguing "                                                                            
[73] " man know scary die "                                                                                               
[74] "now scariest movie time "                                                                                           
[75] "r "                                                                                                                 
