 [1] " cartoon way better "                                                                                                                                                                                                                              
 [2] "thats bottom line disneys incredibly hyped live action version animated feature "                                                                                                                                                                  
 [3] " alliance disney slapstick king john hughes produced frenetic home alone puppies much else "                                                                                                                                                       
 [4] " production remake announced big question seemed "                                                                                                                                                                                                 
 [5] " original cartoon still works whats point "                                                                                                                                                                                                        
 [6] " answer appears give disney excuse yet another massive merchandising campaign "                                                                                                                                                                    
 [7] " story missed childhood simple "                                                                                                                                                                                                                   
 [8] "two dalmatians pongo perdy fall love first sight "                                                                                                                                                                                                 
 [9] " drag human pets together short time couples marry "                                                                                                                                                                                               
[10] " heavenly matchups turn chaotic pongo perdys newborn pups stolen dognapping engineered evil cruella devil wants pelts "                                                                                                                            
[11] "everyone animal kingdom joins frantic effort save puppies "                                                                                                                                                                                        
[12] " original movie animated pooches broad range facial expressions distinct personalities "                                                                                                                                                           
[13] " also hear talk quickly established crucial element charm film dogs view humans pets "                                                                                                                                                             
[14] " new version dogs mute expressionless "                                                                                                                                                                                                            
[15] "hughes attempts give character repeated shots dalmatians draping heads licking faces necks "                                                                                                                                                       
[16] " drew desired aww theyre cute reaction audience quickly followed several people whispering wonder kind food smeared dogs heads get licking like "                                                                                                  
[17] " canines lack personality easier take human beings little "                                                                                                                                                                                        
[18] "joely richardson jeff daniels stunningly bland lead roles "                                                                                                                                                                                        
[19] " previous films daniels successfully played white bread persona "                                                                                                                                                                                  
[20] " something wild revealed rebellious thrillseeker beneath neutral demeanor "                                                                                                                                                                        
[21] " terms endearment hapless appearance masked cold manipulative womanizer "                                                                                                                                                                          
[22] " richardson consistently bland wonder images even stick film "                                                                                                                                                                                     
[23] "glenn close however problems establishing distinct personality "                                                                                                                                                                                   
[24] " villainous icon cruella devil tears screen deliciously overthetop performance "                                                                                                                                                                   
[25] "close matches intensity animated cruella becoming cartoon "                                                                                                                                                                                        
[26] " twotone fright wig red gloves long nails attached fingertips garish animal skin outfits stiletto heels close bursts scenes like force nature "                                                                                                    
[27] "shes clearly ball playing monstrous icon wicked glee infectious "                                                                                                                                                                                  
[28] " spits lines like youve won battle im win wardrobe "                                                                                                                                                                                               
[29] " film comes briefly life "                                                                                                                                                                                                                         
[30] " dalmatians crammed john hughes typical heavyhanded approach comedy "                                                                                                                                                                              
[31] " ingenuous opening showing pongos morning routine gets daniels prepared day film quickly tumbles lame slapstick pooch drags daniels careening trek city park little slapstick goes long way hughes just keeps laying "                             
[32] " second half film local animals team rescue nondescript dalmatian puppies devil henchmen tedious home alone clone bad guys enduring variety sadistic assaults worthy itchy scratchy cartoon including thug getting testicles fried electric fence "
[33] " dalmatians cute puppies hoot performance glenn close enough warrant enduring third rate slapstick bland characters unconvincing animatronic raccoons highfiving one another "                                                                     
[34] "rent cartoon "                                                                                                                                                                                                                                     
