 [1] "man one wierd movie "                                                                                                                                            
 [2] "similar conspiracy theory couldnt decide genre "                                                                                                                 
 [3] " first hour standard stock aliens clone nicely created eerie atmosphere ship "                                                                                   
 [4] " last half hour "                                                                                                                                                
 [5] " makers blew script airlock just decided screw lets just kill everybody "                                                                                        
 [6] " forget scifi "                                                                                                                                                  
 [7] "movie becomes horror "                                                                                                                                           
 [8] " really dissappointed movie tried scare entirely wrong way "                                                                                                     
 [9] "instead using clever tricks trying build scare movie just uses loud noises sudden camera shifts short quick bursts gore yawn everyones "                         
[10] "seen knows expect "                                                                                                                                              
[11] " one thing done well lead finding happened previous crew "                                                                                                       
[12] " skeletons lying around mangled mashed "                                                                                                                         
[13] " finally painfully restored new crew views video "                                                                                                               
[14] " acting isnt bad considering actors work anyway complex interesting dialogue speak "                                                                             
[15] " nice camerawork certain sequences though like hull near bridge event horizon breached camera pans back follow specific objects bounce across deck sucked space "
[16] " movie much better "                                                                                                                                             
[17] " good experienced cast deserved work "                                                                                                                           
[18] " just nothing new us havent seen aliens hellraiser "                                                                                                             
