 [1] "stephen please post appropriate "                                                                                                        
 [2] " mafia crime isnt funny business homer yen c "                                                                                           
 [3] " particular night found free time chance either go sleep early see mafia spoof mafia crime films godfather goodfellas casino "           
 [4] " minutes length thought enjoy laughs getting good nights sleep "                                                                         
 [5] " account think laffometer registered grins one giggle maybe one chortle "                                                                
 [6] " suppose justify time homage venerable hollywood star lloyd bridges just recently passed away whose last performance film "              
 [7] " mafia "                                                                                                                                 
 [8] "chronicles vincenzo cortinos lloyd bridges life "                                                                                        
 [9] "separated family young escapes america tries live honest life "                                                                          
[10] " fate vincenzo grows powerful klutzy crime lord "                                                                                        
[11] "following footsteps two sons joey billy burke anthony jay mohr "                                                                         
[12] "like siblings powerful crime families squabble power future family fortune women "                                                       
[13] " mafia cowritten jim abrahams also contributed gutbusting funny spoofs airplane naked gun "                                              
[14] " previous movies funny jokes seemed universally understood manic silliness work "                                                        
[15] " write also wonder many people actually seen movies spoof based "                                                                        
[16] "crime movies general contain lot profanity violence "                                                                                    
[17] " tough genre parody "                                                                                                                    
[18] " kind hoping somehow spoof profanity used crime movies maybe tough crime lords say please decide sector take opportunity never explored "
[19] " one two moments made smile scene vincenzo dancing newly wed daughterinlaw "                                                             
[20] " gunman shoots several times "                                                                                                           
[21] " impact bullets cause make wild contortions force wedding band change music styles keep samba disco macarena "                           
[22] " think just gave away best part film "                                                                                                   
[23] "oh well just means can go sleep little earlier "                                                                                         
