 [1] " time john carpenter great horror director "                                                                                                                                               
 [2] " course best film s masterpiece halloween also made s fog s underrated prince darkness "                                                                                                   
 [3] "heck even made good film mouth madness "                                                                                                                                                   
 [4] " something terribly wrong happened terrible comedy memoirs invisible man "                                                                                                                 
 [5] "somehow carpenter lost touch junk like failed remake village damned uninspired sequel escape l movies however look like cinematic works art compared latest film john carpenters vampires "
 [6] " definately wouldnt want put name title "                                                                                                                                                  
 [7] " sad state affairs carpenter can make something misguided flatly written filmed vampires "                                                                                                 
 [8] " story simple "                                                                                                                                                                            
 [9] "jack crow james woods vampire hunter along one partners montoya daniel baldwin prostitute katrina sheryl lee survives attack master vampire valek thomas ian griffith "                    
[10] "since katrina previously bitten crow takes along anyone bitten valek becomes telepathically linked turn vampires couple days later crow hoping find help "                                 
[11] " seems valeks mission steal black wooden cross roman catholic church will enable become powerful sunlight will destroy "                                                                   
[12] " question many time seen story played "                                                                                                                                                    
[13] "well answer just many times better version story made "                                                                                                                                    
[14] " john carpenters vampires sadly enough one unscary horror films ive ever seen "                                                                                                            
[15] " fact isnt even one suspenseful moment whole minute running time "                                                                                                                         
[16] " nonstop vampire attack sequences stylelessly filmed without interesting camera work usually trademark carpenters "                                                                        
[17] " come screenplay far can tell nearly nonexistent "                                                                                                                                         
[18] " story development isnt even attempt flesh characters "                                                                                                                                    
[19] "james woods can good actor nothing say couple pseudo clever lines dialogue "                                                                                                               
[20] "daniel baldwin potential character comes dense "                                                                                                                                           
[21] " sheryl lee faring much better laura palmer twin peaks like female characters plays offensive stereotypical whore "                                                                        
[22] " ounce intelligence excitement john carpenters vamires disheartening coming exfan carpenters "                                                                                             
[23] " said turned directing halloween h couldnt work excitement "                                                                                                                               
[24] " yet asked vampires sequel said happy "                                                                                                                                                    
[25] " think thats definite sign carpenter finally lost trace lasting talent mention significant number iq points "                                                                              
