 [1] " enduring mariah careys film debut glitter im reminded bit chris rocks bigger blacker "                                                                                                            
 [2] " response women saying can raise child without man rock says can drive car feet dont mean done "                                                                                                   
 [3] " say can give mariah carey movie certainly dont mean done "                                                                                                                                        
 [4] "sure plenty pop star film vehicles beatles hard days night spice girls spice world none vapidly pointless laughable glitter "                                                                      
 [5] "everything complete tripe ludicrous "                                                                                                                                                              
 [6] "start story gruesomely predictable least offensive part movie "                                                                                                                                    
 [7] " film inexplicably set s period piece really shows sign period except chicks leg warmers "                                                                                                         
 [8] "worse yet everyones speaking late s hiphop slang "                                                                                                                                                 
 [9] "meant partially autobiographical carey plays billie frank young singer new york struggles overcome rough childhood abandonment alcoholic mother "                                                  
[10] "influential club dj julian dice k lucky max beesley playing bad mix puff daddy robert de niro hears sing track decides make star "                                                                 
[11] " predictably rapid succession billie dice fall starts hitting big dice gets jealous starts acting like ass suddenly billies roller coaster superstardom "                                          
[12] " meantime billie emotional hunt missing mom "                                                                                                                                                      
[13] " wont give away ending honestly just think unicorns rainbows "                                                                                                                                     
[14] "youll figure "                                                                                                                                                                                     
[15] " movie screams made camp couldve fun "                                                                                                                                                             
[16] " filmmakers thought making bulk glitter weepy dramatic better "                                                                                                                                    
[17] " mistake "                                                                                                                                                                                         
[18] " brief attempts comic relief scene effeminate russiansounding director gets wacky filming billies first music video go like lead balloons "                                                        
[19] "instead audience screening tended laugh loudest mariahs dramatic scenes "                                                                                                                          
[20] " brings us performances theres nothing good can said "                                                                                                                                             
[21] "mariah primarily seen wideeyed deerintheheadlights look frozen face "                                                                                                                              
[22] " actually looks scared one love scene "                                                                                                                                                            
[23] " wonder writing isnt even worse "                                                                                                                                                                  
[24] " much dialogue hackneyed watered careys virginal target audience probably impossible actor pull aplomb "                                                                                           
[25] "even characters couldnt written absurdly "                                                                                                                                                         
[26] "theyre members barbie playset important film director swoons billie id love put movie im making bigtime record executive takes billies demo tape says oh ill make sure whole team listens morning "
[27] "everyone film device painful keep watching just see another one appear "                                                                                                                           
[28] " say waste "                                                                                                                                                                                       
[29] "theres much wrong film "                                                                                                                                                                           
[30] " pains mariah carey ego sanity fragile condition days evidenced multiple hospital stays will suffer negative reviews shes likely get "                                                             
[31] " suffer movie "                                                                                                                                                                                    
