 [1] " time "                                                                                                                                                                                             
 [2] " modern world cool rule hard imagine shakespeare becoming man "                                                                                                                                     
 [3] " yet film film film based everlasting magic "                                                                                                                                                       
 [4] " warner brothers latest production shakespeare kicking ass rap beat magic intelligence slowly fades away "                                                                                          
 [5] "though producers matrix vaguely based picture william shakespeares romeo juliet title sequence frightening rap song black limo making way dark streets new york hard associate shakespeares poetry "
 [6] " film takes place silent war two major mafia families city afro americans chinese "                                                                                                                 
 [7] " youngest son chinese mafia chieftain found murdered "                                                                                                                                              
 [8] " afroamericans immediately suspected peace treaty signed two godfathers "                                                                                                                           
 [9] " point han romeo story finds brothers death "                                                                                                                                                       
[10] "escaping prison china returns united states avenge brothers fate "                                                                                                                                  
[11] " can restore justice kung fu kicks falls love mysterious beauty "                                                                                                                                   
[12] " problem daughter enemy "                                                                                                                                                                           
[13] "theres weak echo shakespeares talent disappointing production "                                                                                                                                     
[14] " problems besides title "                                                                                                                                                                           
[15] " course dont call deformation great masterpiece "                                                                                                                                                   
[16] " call modernization "                                                                                                                                                                               
[17] " seems producers fear audience will respond lyrics without car chases gun fights "                                                                                                                  
[18] " lack respect audience find disturbing "                                                                                                                                                            
[19] "kenneth brannagh already proven shakespeare doesnt need updated tales grounded basics life human nature "                                                                                           
[20] " long love hate honesty corruption exist everyone will understand embrace shakespeare "                                                                                                             
[21] " must admit found rome must die confusing "                                                                                                                                                         
[22] " can forgive andrzej bartkowiak since first attempt directing "                                                                                                                                     
[23] " manages create incredible atmosphere directs firm precision "                                                                                                                                      
[24] "unfortunately completely forgot character story developments "                                                                                                                                      
[25] " latest picture therefore visually impressive intellectually hollow "                                                                                                                               
[26] " love story han jet li trish aalyah mafia intrigues undeveloped simplified "                                                                                                                        
[27] "jet li one amazing fighters ever hit silver screen aalyah magical voice "                                                                                                                           
[28] " achievement save film completely braindead actors therefore can act "                                                                                                                              
[29] " nothing two celebrities put together "                                                                                                                                                             
[30] " actors including isaiah washington russell wong henry o dmx give standard mediocre performances "                                                                                                  
[31] "delroy lindo one projects coherent image reality "                                                                                                                                                  
[32] " theres acting worry "                                                                                                                                                                              
[33] "even lis incredible skills martial arts action scenes though technically excellent long story updates simply embarrassing "                                                                         
[34] " make long story short romeo must die intelligent enough thriller sensual enough love story serious fun action film "                                                                               
[35] " certain bartkowiak much better o embarrassing completely unnecessary parallel romeo juliet film completely stuck sure "                                                                            
[36] " end nothing "                                                                                                                                                                                      
[37] " performances worthy notice interesting character story surprises "                                                                                                                                 
[38] " good thing technical achievement "                                                                                                                                                                 
[39] " film can boast great sound fast paced editing solid cinematography well coordinated action sequences "                                                                                             
[40] " music another factor prevents leaving theatre "                                                                                                                                                    
[41] " mostly provided aalyahs enchanting voice several carefully inserted rap songs various artists create kind ghetto feel "                                                                            
[42] " think back much remember production "                                                                                                                                                              
[43] " almost every summer movie interesting scenes moments remember associated massive special effects "                                                                                                 
[44] " film will get attention artistic qualities simply doesnt "                                                                                                                                         
[45] " someone never read shakespeare another popcorn film "                                                                                                                                              
[46] " us waste money time brain cells "                                                                                                                                                                  
