 [1] "seen may p m crossgates cinema theater chris wessell sean oshea "                                                                                                                                
 [2] "theater rating good sound picture seats "                                                                                                                                                        
 [3] " bigbudget megahype event movie becoming trendy now becoming weekly routine instead seasonal one "                                                                                               
 [4] "gluttony hollywoods favorite sin moviegoers pay price dealt things everworsening basis "                                                                                                         
 [5] " lost space latest offering film poor twice good mediocre "                                                                                                                                      
 [6] " made every element science fiction time evoke slightest amount wonderment genre meant "                                                                                                         
 [7] "audiences attention spans rapidly decreasing trend films one opens fastpaced space battle serves interesting scene film probably star wars written producers way showing budget special effects "
 [8] "battle scenes worthless without tension since idea setting impossible care anything happens "                                                                                                    
 [9] " essence entire segment works like teaser arcade game piece filmmaking "                                                                                                                         
[10] " meet robinson family family five get along chosen act earths behalf effort find another planet worthy colonization due exhausting natural resources "                                           
[11] " member family special trait personality yet none seem like actual people "                                                                                                                      
[12] "professor john robinson hurt intelligent quiet leader devoted much time work family marriage suffering without realizing obvious role aspect will play "                                         
[13] " course established extremely melodramatic scenes children parents arguing bickering among necessary problems resolved right moments "                                                           
[14] " thing worse screenplay fact presented completely serious manner without trace satire pathetic laughable "                                                                                       
[15] " first act building story juxtaposition scenes serve purpose plug required elements plot conflict characterization god forbid "                                                                  
[16] " provided minimum amount possible elements keep film completely silent "                                                                                                                         
[17] " fact might well since dialogue virtually nonexistent "                                                                                                                                          
[18] "yes characters speak talk "                                                                                                                                                                      
[19] " say things relate conflict never really interact unless cartoony flirting scenes arrogant major don west leblanc uptight unemotional judy robinson graham "                                     
[20] " amazing hour trite dialogue generic plot devices little happens "                                                                                                                               
[21] "eventually pacing rapidly increases amount genuine interest "                                                                                                                                    
[22] " story finally gains prospective living title robinsons find lost space narrowly managing defeat dr smith oldman cartoony villain plans sabotage "                                               
[23] " ensues series upon series completely unrelated conflicts "                                                                                                                                      
[24] " first scene takes place abandoned spaceship ensues best described alien lite "                                                                                                                  
[25] " story changes robinsons crash land alien planet must act quickly escape survive "                                                                                                               
[26] " theres never real notion suspense script constantly wanders aimlessly "                                                                                                                         
[27] "plotlines developed becomes totally irrelevant story changes scenario scenario "                                                                                                                 
[28] " atmosphere attempts surreal incorporating time travel various time paradoxes presented ridiculous way utterly boring "                                                                          
[29] " time last act rolls around sense payoff building "                                                                                                                                              
[30] " ending go high note kind climax instead seems come sudden halt least ends "                                                                                                                     
[31] " lost space major film production worst "                                                                                                                                                        
[32] " frightening film poorly written directed acted might considered mainstream entertainment "                                                                                                      
