 [1] "capsule tonight leni rienfenstal "                                                                                                                             
 [2] "starship troopers expensive hateful unenjoyable piece violent pornography bad pornography "                                                                    
 [3] " good cinema good storytelling even stupid fun cynically calculatedly boneheaded even least demanding members audience alternately bored revulsed "            
 [4] " one worst movies ive seen long time "                                                                                                                         
 [5] " calling movie pornography "                                                                                                                                   
 [6] "pornography abstract anything calculated appeal baser instincts "                                                                                              
 [7] " remember reading review full metal jacket described climact moment end movie private joker shoot downed vc sniper nearpornographic eternity "                 
 [8] " didnt agree assessment see implied reviewer felt audience incited stand pump fists shout er man er "                                                          
 [9] " sentiment echoed ad nauseam throughout starship troopers "                                                                                                    
[10] " literally like giant recruitment film gone berserk "                                                                                                          
[11] " tries frantically enlist emotions winds dull sickening "                                                                                                      
[12] " film takes place future earth come attack alien species doesnt appear intelligence "                                                                          
[13] " counterattack humankind single stupidest thing imaginable instead nuke planet orbit theyre clearly capable send grunts m rifles "                             
[14] " isnt heinlein bad wwii movie one obvious points satire ever poked prodded combat scenes noisy repetitive ultimately tiresome "                                
[15] " one scene journalist battlefield filimg soldiers slaughtered ends groaning predictability said cameraman gets skewered "                                      
[16] " soldiers commanders consistently idiotic "                                                                                                                    
[17] " possess germ tactical intelligence even common sense "                                                                                                        
[18] " dont even behave like soldiers bad movie therefore dont care "                                                                                                
[19] " hated tom berenger character platoon mattered therefore curious learn fate "                                                                                  
[20] " dont even hate bugs whats hate "                                                                                                                              
[21] "hating like cursing hurricaine "                                                                                                                               
[22] " theres anything really hateful movie doesnt know give us "                                                                                                    
[23] " screenwriter ed neumeier perhaps better appelation screen typist director increasingly talentimpaired paul verhoeven found way make characters story serve "  
[24] "one subplots concerns woman pilot whos great getting tight situations "                                                                                        
[25] " twice fine "                                                                                                                                                  
[26] " fifth sixth time worn welcome "                                                                                                                               
[27] "theres never sense people really thinking way anything really tested show mettle "                                                                             
[28] "also movie irritatingly selective effective bugs earthling weaponry "                                                                                          
[29] " bug one humans screaming grasp five guys can stand around blast away full auto without damned thing "                                                         
[30] " one human gets cornered lays waste whole platoons bugs one clip "                                                                                             
[31] "uhhuh "                                                                                                                                                        
[32] " worst feature movie repulsive quasifascist flavor "                                                                                                           
[33] " say quasi movie uses many trappings fascism ot eroticize action gear uniforms etc movie doesnt nerve brains genuinely fascist intelligent subject "           
[34] " bumpers scenes apparently intended parody wartime recruitment propaganda propaganda just clumsy oafish wind making bugs look relatively innocuous comparison "
[35] "like rest movie "                                                                                                                                              
[36] "theres suppose worth "                                                                                                                                         
[37] " acting bland neither arsenic gravy music disposable camerawork turgid "                                                                                       
[38] " heartbreaking thing makes independence day look like masterpiece "                                                                                            
