 [1] "wesley snipes master selecting bad action roles "                                                                                                                                                                                                                                 
 [2] "murder u s marshals money train drop zone boiling point ultimate camp film passenger "                                                                                                                                                                                            
 [3] " art war another entry ugly unique category "                                                                                                                                                                                                                                     
 [4] "ultimately little ridiculous action film plot believable warren report ugly violence made peckinpah cringe terrible acting blist actors like michael biehn anne archer "                                                                                                          
 [5] "oddly feels like undiscovered sequel another snipes masterpiece rising sun "                                                                                                                                                                                                      
 [6] " movie revolves around convenient story special un operative caught secret murder conspiracy involving chinese ambassador chinese triad brotherhood rich chinese businessman played bad guy rising sun caryhiroyuki tagawa chinese un interpreter inexplicably donald sutherland "
 [7] " film ends confusion boatload chinese immigrants trying register ellis island "                                                                                                                                                                                                   
 [8] " say film ends blatant ripoff matrix john woos hong kong films combined "                                                                                                                                                                                                         
 [9] " really loss figure wesley snipes gumption star action dud also act one producers film "                                                                                                                                                                                          
[10] " usually enjoy snipes movies though dramatic roles better show creativity actor flashiness action films "                                                                                                                                                                         
[11] "simply amazed inane script filled terrible cliches extremely violent action sequences "                                                                                                                                                                                           
[12] "director christian duguay screamers strange attraction viciousness violent acts showing splattering brains people impaled broken shards glass lots gargling gagging blood sprays everywhere "                                                                                     
[13] " also sickens know oliver stone one greatest directors working today hand producing monstrosity "                                                                                                                                                                                 
[14] " guess snipes sold stone conspiracy angle stone chose read script watch dailies involved casting anything else else hed filing court order remove name credits "                                                                                                                  
[15] " also seems evident russkies new bosom buddies middle eastern terrorist angle beaten death last couple years new international enemies hollywood communist chinese "                                                                                                              
[16] "im sure next couple months even chinese conspiracymartialarts action flicks going popping local multiplex "                                                                                                                                                                       
[17] "hopefully wont include wesley snipes "                                                                                                                                                                                                                                            
