 [1] " days people rather short attention span hardly anything can satisfy long run "                                                                                                                
 [2] "s nostalgia already wearing now people becoming interested s "                                                                                                                                 
 [3] " years future early s going regarded next golden age nostalgia "                                                                                                                               
 [4] "however doubt people going nostalgic hollywood products period "                                                                                                                               
 [5] "one reason surely films like national lampoons loaded weapon many ways symbolise biggest problem contemporary american film industry lack originality ideas "                                  
 [6] " made kind parody lethal weapon series film pairs two l policemen jack colt emilio estevez burnout alcoholic cop edge wes luger samuel l jackson bythebook policeman days away retirement "    
 [7] "two following murder lugers ex partner must confront evil general mortars william shatner crime lord going flood market cocaine stashed wilderness girl cookies "                              
 [8] " authors films whose director gene quintano worked projects like third fourth sequel police academy lacked original idea undertook projects reflects lack plot characters even original lines "
 [9] " plot goes plot movie nothing series gags make laugh popular films made previous years apart lethal weapon series film borrows female lead basic instinct "                                    
[10] " best gags many similar movies shown trailers "                                                                                                                                                
[11] " rest simply doesnt work "                                                                                                                                                                     
[12] " used watch lot hollywood products period laugh "                                                                                                                                              
[13] "others probably wince lameness humour "                                                                                                                                                        
[14] " entertained celebrity cameos pop every "                                                                                                                                                      
[15] " end spending hour half front disorganised mess movie simply worth effort "                                                                                                                    
[16] " film sometimes criticised parody series already strong comic overtones "                                                                                                                      
[17] " authors lethal weapon returned favour using loaded weapon joke fourth sequel "                                                                                                                
