 [1] "reading cast director new mobster comedy analyze asked miss "                                                                                                                                                                                                                                                             
 [2] "robert de niro taxi driver raging bull billy crystal city slickers lisa kudrow opposite sex director harold ramis national lampoons vacation "                                                                                                                                                                            
 [3] " usually reliable filmmakers well okay crystal sizable slump lately tellingly first halfhour analyze funny "                                                                                                                                                                                                              
 [4] "unfortunately running time ticked away began think first thirty minutes unbeknownst rewound replayed another twoandahalf times "                                                                                                                                                                                          
 [5] " film obtained clever premise idea progressively becomes repetitive finally stopped enjoying caring happening screen "                                                                                                                                                                                                    
 [6] "middleaged psychoanalyst ben sobels billy crystal life finally going well "                                                                                                                                                                                                                                               
 [7] "although never gotten along uncaring parents especially father also psychiatrist ben easygoing teenage son kyle sabihy travel miami get married tv news reporter girlfriend laura lisa kudrow "                                                                                                                           
 [8] " little flash however ben suddenly sees plans ruined accidentally hits car mob subsequently gets paid visit famed mafia guy paul vitti robert de niro desperately wants counseling even though wont even admit anxiety attacks "                                                                                          
 [9] "ben tries help paul mostly will get back plot gets complicated paul follows ben wedding ends man dropping eight stories death "                                                                                                                                                                                           
[10] " seems ben matter paul vitti will go away become involved bens potentially happy life gets danger "                                                                                                                                                                                                                       
[11] " analyze laughs sprinkled throughout mostly first half always nagging thought director ramis writers peter tolan ramis kenneth lonergan done thought one joke robert de niro lightly spoofing serious past mafia roles terrorizing becoming buddies comic billy crystal tiresomely recycled duration minute running time "
[12] "admittedly de niro funny cant remember last time use adjective describe crystal topform whole movie weighed directly shoulders nothing else support including substantial plotline "                                                                                                                                      
[13] "since analyze bills one two three writers youd think able work together fix noticably large flaws must autopilot "                                                                                                                                                                                                        
[14] "one disappointing wasted opportunities film way movie deals supporting characters next nothing arent even given multidimensional characters attempt develop "                                                                                                                                                             
[15] "coming oscarcaliber work two last years best films clockwatchers opposite sex lisa kudrows throwaway girlfriend role incredible step "                                                                                                                                                                                    
[16] "sure kudrows fellow friend jennifer aniston thing two weeks ago office space least got spend little time aniston "                                                                                                                                                                                                        
[17] "kudrow meanwhile mostly just stands around doubt wondering agreed appear film first place "                                                                                                                                                                                                                               
[18] "chazz palminteri rival gangster primo fares even worse role plays like afterthought actual character "                                                                                                                                                                                                                    
[19] "finally molly shannon rising film star cast member saturday night live rousingly hilarious onescene cameo right beginning one crystals patients completely disappears "                                                                                                                                                   
[20] " bad considering supporting actors surely proven abilities support de niro crystal "                                                                                                                                                                                                                                      
[21] " analyze approached second wedding scene leaving kudrows laura standing alone altar become thoroughly annoyed story gone mostly lost respect character supposed sympathize ben "                                                                                                                                          
[22] "afterwards climactic scene ben posing fellow mob boss place depressed paul became real laughfree deadzone losing last remaining comic punches "                                                                                                                                                                           
[23] " analyze proves talent can certainly help film written material isnt level virtually left vacuum thin air "                                                                                                                                                                                                               
