 [1] " hath kevin williamson wrought "                                                                                                                                                                     
 [2] " horror movie revival spurred scream yielded decent entries genreiknowwhatyoudidlastsummer halloween h scream must noted williamson hand writing films "                                             
 [3] " williamsonless postscream efforts among wishmaster recent disturbingbehavior frightening rightfrighteningly insultingly bad "                                                                       
 [4] "add list urbanlegend takes promising premise runs predictable meat grinder idiocy "                                                                                                                  
 [5] " influence williamson screenwriter silvio horta clear two key areas "                                                                                                                                
 [6] "first opening sequence like scream extended set piece detailing singular murder gets proverbial ball rolling "                                                                                       
 [7] " sequence pendleton college coed michelle mancini natasha gregson wagner decapitated driving also reveals obviously williamsonesque touch killers look "                                             
 [8] "dressed large hooded parka wielding axe killer bears passing resemblance iknow fisherman "                                                                                                           
 [9] "sans hook "                                                                                                                                                                                          
[10] "one thing horta borrow williamson however intriguing premise "                                                                                                                                       
[11] "students pendleton killed way urban legendsthose contemporary bits mythology passed person person group group year year become embedded social consciousness "                                       
[12] " hardly matters true tall tale mikey life cereal commercials died fatal combination pop rocks pepsi didnt "                                                                                          
[13] "michelle slain killer lurking backseat lore first fall prey urban legend come true body count rises fellow pendleton student natalie alicia witt suspects link murders personal link past well "     
[14] " setup shows promise story never takes due large part horta director aptly named jamie blanks fires round afer round namesake terms suspense scares "                                                
[15] " many wouldbe shocks fakeouts reliant bombastic music cues films chase scenes riddled cliches scream tried subvert like screaming damsels knowingly running dead ends shouldand couldrun front door "
[16] " just tip iceberg comes cliches theres also climactic villain confession contrived waytooconvenient motive revealed mention credit card opening locked door trick cliche film genre "                
[17] "banks hortas intentional attempts humor also lame fact best gags lazy injokey references credits costars joshua jackson rebecca gayheart says lot imagination humor "                                
[18] " laughs also rather predictable identity killer revealed im sure hilarious things meant "                                                                                                            
[19] " filmmakers dont get much help onscreen talent "                                                                                                                                                     
[20] " far fan bland iknow "                                                                                                                                                                               
[21] "starlet jennifer love hewitt id talke day ove dreadfully stiff uncharismatic witt whose inept attempts emoting often met laughter witt pefect foil equally pesencechallenged leading man jared leto "
[22] "dawsonscreek star jackson mugs way thorugh glorified cameo gayheart displays depth range well noxzema spokeswoman robert englund lends film little freddy krueger pedigree folklore professor "      
[23] "granted cast hampered material "                                                                                                                                                                     
[24] "loretta devine done fine work films waitingtoexhale saddled ridiculous role pam grierworshiping campus security guard "                                                                              
[25] " recently resuscitated horror genre rely efforts one mannamely kevin williamsonto stay alive "                                                                                                       
[26] " filmmakers continue make shoddy product urbanlegend genre looks go way screen slashers many victims "                                                                                               
