 [1] " rich legacy cinema left us certain indelible images "                                                                                                                                                                   
 [2] " tinkling christmas tree bell wonderful life "                                                                                                                                                                           
 [3] "bogies speech airport casablanca "                                                                                                                                                                                       
 [4] "little elliotts flying bicycle silhouetted moon e t "                                                                                                                                                                    
 [5] " now starship troopers director paul verhoeven adds one image will live memories forever doogie houser vulcan mind meld giant slug "                                                                                     
 [6] " starship troopers loosely based robert heinlein novel story interstellar war humans giant insects "                                                                                                                     
 [7] " hands verhoeven mammoth scifi battle flick one astonishingly bad films ever made monument inept filmmaking colossal scale "                                                                                             
 [8] " put simply bug bomb "                                                                                                                                                                                                   
 [9] " robocop total recall verhoeven displayed gift creating entertaining mix violence special effects social satire starship troopers starts similar fashion tongueincheek futuristic military recruitment ad shows promise "
[10] "things go downhill fast though meet heroes group buenos aires teens preparing graduate high school "                                                                                                                     
[11] "inexplicably johnny rico carmen ibenez dizzy flores xander barcalow played squarejawed anglo kids look like just stepped mountain dew commercial "                                                                       
[12] " veritable alpha centuri watch lovesmitten teens squabble name love "                                                                                                                                                    
[13] "michael ironside plays teacher waves around cheesy fake severed arm lecturing civic responsibilities "                                                                                                                   
[14] "eventually kids join military dreams glory addled little minds "                                                                                                                                                         
[15] "one classmates carl jenkins doogie housers neil patrick harris snags job military intelligence strong psychic abilities "                                                                                                
[16] " displays gift psychically ordering pet ferret crawl mothers leg "                                                                                                                                                       
[17] " long dull boot camp sequence follows enlivened extended coed shower scene recruits swap snappy banter showgirls directors camera roams buff bodies "                                                                    
[18] "finally full hour film war finally starts meet enemy "                                                                                                                                                                   
[19] " bugs hail klendathu colonize planets hurling spores space "                                                                                                                                                             
[20] " attack starships spinning around firing deadly plasma blasts rears "                                                                                                                                                    
[21] "yes incredible seems bugs actually kill cosmic farts "                                                                                                                                                                   
[22] " phenomenally large amount money spent creating computer animated insects results mixed best "                                                                                                                           
[23] "sweeping distant shots depicting hordes giant bugs racing attack impressive scary closeups different matter "                                                                                                            
[24] " insects odd artificial look like origami creations mottled plastic coating "                                                                                                                                            
[25] " attack scenes intensely violent one expect verhoeven overall look phony generate real tension "                                                                                                                         
[26] " action frantic military strategy wildly illogical even hollywood standards grows tiresome quickly "                                                                                                                     
[27] "verhoeven tries spice things throwing satiric news coverage fauxjingoistic scenes children part war effort squishing roaches sidewalk arent enough make long stretches sheer dreck "                                     
[28] "one can guess paul verhoeven trying "                                                                                                                                                                                    
[29] " customary one part satire two parts ultraviolence formula way whack film just flounders "                                                                                                                               
[30] " showgirls fashion scenes almost bad enough good "                                                                                                                                                                       
[31] " intergalactic kegger party jake busey playing dixie green plexiglas fiddle certain bizarre appeal "                                                                                                                     
[32] " sex scene two teens achieves smarmy charm enhanced minutes later female receives fatal jab bug tells hero doesnt mind dying "                                                                                           
[33] " okay gasps got "                                                                                                                                                                                                        
[34] " course theres doogies mind meld bug "                                                                                                                                                                                   
[35] " possible verhoeven attempting create homage era original novel "                                                                                                                                                        
[36] "heinleins pre stranger strange land books aimed adolescent males starship troopers antiseptic retrofuture look late searly s scifi "                                                                                     
[37] " one cityscape shown jetsonslike gleaming metropolis flying cars whizzing past obvious matte painting "                                                                                                                  
[38] " hairstyles retro straight frankie avalon annette funicello school fashion "                                                                                                                                             
[39] "ultimately verhoevens motives irrelevant "                                                                                                                                                                               
[40] " produce gargantuan film fails action film social satire "                                                                                                                                                               
[41] " even fails entertaining bad movie "                                                                                                                                                                                     
[42] "avoid starship troopers costs "                                                                                                                                                                                          
