 [1] "plot summary year "                                                                                                      
 [2] " ozone layer long since gone earth now protected radiation shield invented connor mccleod "                              
 [3] " shield although saving lives made atmosphere hot humid "                                                                
 [4] "connor mortal tired old man given hope "                                                                                 
 [5] " returning opera one night connor accosted leader terrorist organisation "                                               
 [6] " tried find company now runs shield unit covering "                                                                      
 [7] "connor attacked two assassins sent katana planet zeist like zeitget "                                                    
 [8] " fail connor becomes immortal chopping heads "                                                                           
 [9] " brings ramirez back life glencoe scotland "                                                                             
[10] " ramirez connor rebel leaders back zeist sent earth punishment "                                                         
[11] "connor now option return last one opts stay new found immortality fight find company shield "                            
[12] "katana meanwhile fearing connor return sets kill highlander "                                                            
[13] " never seen "                                                                                                            
[14] " fan highlander mr connery cinema soon see highlander ii quickening "                                                    
[15] " wish quicker "                                                                                                          
[16] " feel whatever else can say film bad script bad music etc sit just plain bored nothing much else needs said "            
[17] " film short opinion twelve minutes time mr connery screen worth watching "                                               
[18] " plot sounds little ridiculous willing give chance "                                                                     
[19] "maybe pull "                                                                                                             
[20] "instead find characters completely changed first film "                                                                  
[21] " different people names "                                                                                                
[22] "witness connor jumping bed leader resistance attitude wants live forever love must die gone "                            
[23] " love subplot must footage cut "                                                                                         
[24] " highlander ramirez seemed aware powers never mentioned "                                                                
[25] "putting heroes deadly situations walk away new power annoying "                                                          
[26] " still want know connors coat becomes flame proof immortal "                                                             
[27] " given enough time zeist believe told advanced aliens still use swords kill "                                            
[28] " dynamite laser saws just plain bullets followed quick chop neck "                                                       
[29] " know head needs come least immobilise opponent laser rifles first "                                                     
[30] " fair one assassin tried must worlds worst shot "                                                                        
[31] "meanwhile connor develops lukeskywalkerlike powers laser beam deflection "                                               
[32] " bad guys see rebellion zeist crushed easier grape rest plot depends katana obsessed killing mccleod case returns zeist "
[33] "two assassins sent presumably meant good killing aged connor kills problems "                                            
[34] " assassins sent "                                                                                                        
[35] "katana supposedly powerful man goes kill connor "                                                                        
[36] " assassins "                                                                                                             
[37] " better "                                                                                                                
[38] " rebellion crushed easily "                                                                                              
[39] "michael ironside totally unconvincing bring back kurgan "                                                                
[40] " seems like cartoon character really isnt evil just stupid violent "                                                     
[41] " see hollywood trick chief nasty threatening child killing lots innocents "                                              
[42] "yet still seems like threat perhaps seems stupid threaten connor maybe two best assassins wouldnt amiss larry curly mo " 
[43] " much plot characters "                                                                                                  
[44] " music atrocious "                                                                                                       
[45] " best intrusive worst annoying "                                                                                         
[46] "bring back queen "                                                                                                       
[47] " audible sigh relief "                                                                                                   
[48] " connor played queen track juke box "                                                                                    
[49] " believe least corrected american release "                                                                              
[50] " acting best flat except mr connery "                                                                                    
[51] "lambert uninteresting delivered can one time around just made wish one highlander "                                      
[52] "michael ironside unconvincing sorry michael usually like everyone else incredibly forgetable "                           
[53] " "                                                                                                                       
[54] "visually film interesting times "                                                                                        
[55] " blade runner feel special effects quite stunning "                                                                      
[56] "add irrepressible sean connery smiles throughout whole film smirking "                                                   
[57] " lines delivery might make film worthwhile obvious take whole thing seriously hey id done million "                      
[58] "oh agree previous reviewer look like sharon stone believe first film "                                                   
[59] "incidentally line producer credited hear rumours highlander iii wizard "                                                 
