 [1] "forgive fevered criticism fervor crucible infects "                                                                                                                                
 [2] "set salem massachusetts crucible opens group teenage girls passionately singing dancing around boiling cauldron middle forest glow full moon "                                     
 [3] " beckon names men targets love spells "                                                                                                                                            
 [4] " one girls lets hair sheds clothes "                                                                                                                                               
 [5] " outdone quest regain attention john proctor daniel day lewis abigail winona ryder suddenly seizes chicken beats ground smears face lips fresh blood "                             
 [6] "taking even adolescent hormone surges account surely chickenbashing bit bit excessive especially prim puritan sensibilities "                                                      
 [7] "surely puritan eye close coven witches gets "                                                                                                                                      
 [8] " crucible errs beginning arthur millers name summoned blame addition scene screen adaptation play "                                                                                
 [9] " far harmless event bad start already shaky morality tale "                                                                                                                        
[10] " play describes films opening scene tense exchanges makes one wonder veracity accusation reply adds plays charged atmosphere "                                                     
[11] " film opening scene becomes unintentional pandoras box "                                                                                                                           
[12] " credulity stretched abigails obsession unfortunately spotlighted "                                                                                                                
[13] " positions crucible cautionary fable obsessive malevolent women witch hunts will bring back memory rabbit boiling away pot "                                                       
[14] " surprisingly nighttime forest frenzy go unnoticed two girls fail wake following morning witches invoked eager blame "                                                             
[15] " girls questioned confession guilt accompanied announcement return god thereafter converted immaculate witnesses led lustfully abigail "                                           
[16] " alarming synchronicity hormonallyadvantaged girls zealously gesture point accusing fingers innocents constant reminders abigails passion sets inexorable motion "                 
[17] "abigail seizes opportunity rid rival john proctors love wife elizabeth joan allen including among accused witchcraft "                                                             
[18] "appropriately narrowwaisted equipped distractingly white smile watch teeth deteriorate much quickly murky yellow day lewis plays dashing moral hero overearnestness longs watched "
[19] "director nicholas hytner guilty encouraging day lewis foamingmouth fervour shots stare proctor mounted pedestal admiration "                                                       
[20] "otherwise hytners direction unremarkable "                                                                                                                                         
[21] "ryders performance abigail consistent mood swings "                                                                                                                                
[22] " fits frenzy energetic enough quieter moments less successful "                                                                                                                    
[23] "abigail supposedly revels newfound power ryder fails convincingly haughty although much haughtiness spare "                                                                        
[24] "paul scofield fine overzealous judge danforth incessant moral posturings characters along recurrent histrionics young girls pricks nerves "                                        
[25] "probably refuge restraint amidst huffing puffing allens elizabeth comes sympathetic character "                                                                                    
[26] " scene near end featuring private conversation imprisoned elizabeth john undeniably powerful given reprieve moral bantering human consequences revealed "                          
[27] "unfortunately johns audience increases one urge pontificate returns human urgency situation lost "                                                                                 
[28] " clear miller meant well wish delicacy fewer diversions "                                                                                                                          
[29] " screenplay imperfect creature distractions coming loud message "                                                                                                                  
[30] " result clumsy muddle felt like chicken opening scene head ceaselessly banged piousness heavyhanded wholly believable "                                                            
[31] " gallows beckoned sweet release indeed "                                                                                                                                           
[32] "far bewitching crucible tests patience "                                                                                                                                           
