 [1] " dont expect much eddie murphy days "                                                                                                                                                                                            
 [2] " past four years gods cinemaor expansive payrolls studio conglomerateshave allowed make one bad movie another "                                                                                                                  
 [3] " films metro doctor dolittle holy man life bowfinger reduced great comedic persona living breathing washedup hack performing studio puppet th century fox universal pictures "                                                   
 [4] " biggest shame fall shoulders newest film nutty professor ii klumps "                                                                                                                                                            
 [5] " klumps revisits life sherman klump overweight university science professor looking love wrong places "                                                                                                                          
 [6] "sherman just invented new youth drink enables man beast become younger short period time "                                                                                                                                       
 [7] "janet jackson love interest chooses lovable sherman soul mate rather excel career university professor ridiculous reasons "                                                                                                      
 [8] " love mind sherman determined rid alter ego buddy love first professor still resides vigor inside psyche causes sherman act like bad imitation vince vaughn swingers "                                                           
 [9] " convoluted mumbojumbo dna extraction sherman extracts buddy love link dna smartly deposits buddy handydandy lab beaker "                                                                                                        
[10] " one night beaker knocked buddy love regenerated "                                                                                                                                                                               
[11] " every movie like needs unnecessary villain thwart good guy "                                                                                                                                                                    
[12] " klump family played eddie murphy step comedic relief involving old people sex flabby breasts slew fart dick jokes enough fat people jokes lost count first thirty minutes "                                                     
[13] " mention part larry miller gets anally raped overgrown hamster "                                                                                                                                                                 
[14] " movie finally dissolves really bad hallmark family special realizing can world enough soft lighting people verge tears every scene "                                                                                            
[15] "pure simple klumps failure "                                                                                                                                                                                                     
[16] " script handled one five screenwriters really shows awkward transitions scenes "                                                                                                                                                 
[17] " sense story plot lost rewrite process "                                                                                                                                                                                         
[18] " discerning learn chris weitz paul weitz team behind one funniest films last decade american pie names stamped trash "                                                                                                           
[19] "hey guys quick note keep movie resumes "                                                                                                                                                                                         
[20] " characterization shermans family klumps one ignorant stereotypes black family ever seen cinema "                                                                                                                                
[21] "everyone member family large person wipes bins clean local buffet restaurant like pigs trough "                                                                                                                                  
[22] " grandma oversexed fiend constantly talks ways pleasure man sagging breasts "                                                                                                                                                    
[23] " father gruff fired bluecollar job sexually inadequate communicate family feelings "                                                                                                                                             
[24] " mother ignorant negativity around seems hold opinion anything anyone "                                                                                                                                                          
[25] " brother silent brooding resembles ice cube gangster character boyz hood "                                                                                                                                                       
[26] "sherman terribly insecure never conveys anything audience become attached "                                                                                                                                                      
[27] " main problem film inability create type convincing conversational situational comedy "                                                                                                                                          
[28] " family scenes first nutty professor worked well conversations short direct "                                                                                                                                                    
[29] " got feeling crass people couldnt act like time "                                                                                                                                                                                
[30] " sequel reverse drives negatives klumps right hilt making first five minutes interaction enjoyable last unbearable pathetic "                                                                                                    
[31] " conversations just become barrage frustrated anger tinged indecency overworked premises end drawing energy away type empathy one might feel central themes story "                                                              
[32] " also damn shame makeup magic rick baker worked original nutty professor won academy award work american werewolf london amazing digital special effects enabled murphy interact beautiful motions built around lame story line "
[33] "even best effects cant seem save pathetic movies days "                                                                                                                                                                          
[34] "now think worst thing film money will make "                                                                                                                                                                                     
[35] "people will lined around block "                                                                                                                                                                                                 
[36] " studios will concoct sequel release summer "                                                                                                                                                                                    
[37] "eddie murphy will signed take just one role five roles hell play every character movie "                                                                                                                                         
[38] " just cant wait see eddie murphy love scene "                                                                                                                                                                                    
