 [1] " nine started buying coolest toy figures local department store "                                                                                                                                                                                                    
 [2] "masters universe pinnacle action figures combined science fiction fantasy cool names like mekanek stinkor came little comic book read "                                                                                                                              
 [3] " course animated series produced filmation remains one wildly successful television products world history "                                                                                                                                                         
 [4] "given tremendous success toys cartoon mention moderately successful spinoff shera princess power inevitable production company put two two together come result trillions make liveaction masters movie "                                                            
 [5] "lets blunt masters universe bad movie "                                                                                                                                                                                                                              
 [6] " story painfully dull mindnumbingly cliched hands wouldnt guess heman skeletor take fight real world acted either incredibly untalented actors dolph lundgren heman one good actors james tolkan meg foster given awful characters dialogue cant help seem terrible "
 [7] " extremely clear someone making movie wanted good star wars "                                                                                                                                                                                                        
 [8] " alien bounty hunters desert skif technology stormtrooper lookalikes musical score reminiscent john williams deja vu polite term use describing "                                                                                                                    
 [9] " blatant uninspired ripoff appear appropriate "                                                                                                                                                                                                                      
[10] "tv fans might want check courtney cox monica friends robert duncan mcneill lt paris star trek voyager early careers well either "                                                                                                                                    
[11] " face mindless submediocrity anything make masters universe worth watching "                                                                                                                                                                                         
[12] "yes "                                                                                                                                                                                                                                                                
[13] "one incredible good reason "                                                                                                                                                                                                                                         
[14] " name frank langella "                                                                                                                                                                                                                                               
[15] "langella always one underrated actors hollywood appearing countless films years "                                                                                                                                                                                    
[16] " plays skeletor villain piece "                                                                                                                                                                                                                                      
[17] "dressed opulent black velvet robes bearing skull face one part darth vader one part emperor two parts grim reaper "                                                                                                                                                  
[18] "given character langella falls right style precision "                                                                                                                                                                                                               
[19] "skeletor believable interesting manages tread fine line homage past startlingly original right "                                                                                                                                                                     
[20] "masters universe "                                                                                                                                                                                                                                                   
[21] " remember loving eleven "                                                                                                                                                                                                                                            
[22] " twenty one difficult see "                                                                                                                                                                                                                                          
[23] " said blessed superlative villain makes entire thing worth tedium remainder "                                                                                                                                                                                        
[24] "besides year marks films th anniversary "                                                                                                                                                                                                                            
[25] "watch friends good laugh celebrate "                                                                                                                                                                                                                                 
