 [1] " job film critic see movie write review tells good bad "                                                                                                                              
 [2] " feel kind embarrassed admit seen get carter really cant tell although go bad movie "                                                                                                 
 [3] " get carter falls category movies continue made reasons unknown anyone outside hollywood executive board room "                                                                       
 [4] " might call steven seagalmickey rourkejeanclaude van dammewesley snipes school mediocre actioncrime thrillers "                                                                       
 [5] " know potboilers heavy fistfights shootouts car chases really light plot character development "                                                                                      
 [6] " stories socalled hero just keeps running characters connection one characters antagonists without reason movie give protagonist someone fight chase shoot "                          
 [7] "sylvester stallone stars jack carter las vegasbased mob enforcer returns home brothers funeral "                                                                                      
 [8] " believes brother richie taken didnt die dwi accident "                                                                                                                               
 [9] "carters one cliche badasses ever captured celluloid "                                                                                                                                 
[10] " face alone pretty intimidating theres quite scenes leans regular citizens criminal lowlives simply staring speaking confidence ramboontestosteronetherapy voice "                    
[11] "stallones performance movie forced unnatural doesnt realize hes mocking "                                                                                                             
[12] " actual story involves carters investigation brother richies death "                                                                                                                  
[13] "hes town thats somehow local top dogs know well "                                                                                                                                     
[14] "mickey rourke costars one characters sort crime boss something running porno web site blackmailing young internet tycoon played alan cummings looking acting lot like pee wee herman "
[15] "theres also another plot involving richies mistress secret cdrom convicting disturbing evidence something terrible involving one carters stillliving relatives "                      
[16] "im rolling eyes just thinking trying critique way remotely comprehendible "                                                                                                           
[17] " just rip screenplay shreds plus direction editing production values require discussion nearly every scene order explain "                                                            
[18] " dont like put spoliers reviews either intentionally accidentally "                                                                                                                   
[19] "yes get carter just complicated complex "                                                                                                                                             
[20] " whats worse intricate make seem smart like usual suspects example just opposite "                                                                                                    
[21] " get feeling whoever wrote script short intervals spaced far apart probably didnt remember already happened didnt figure scene lead next one major plot points work towards climax "  
[22] " really need know film just scenes carter tracking one scumbag supposed witness another asking know getting information realizing wasnt complete idiot figured first five minutes "   
[23] "although supporting characters equally stupid since tell everything comes back haunt one violent way another "                                                                        
[24] "making movie entirely criminals doesnt necessarily mean unlikable cliche cutout characters "                                                                                          
[25] "mel gibson starred payback years ago story unlike one good screenplay couldnt help like even though just bad guy jack carter "                                                        
[26] " ultimately get carter fails pretty much every selling point "                                                                                                                        
[27] "carter likable character really dont care gets revenge "                                                                                                                              
[28] " action sequences exciting original "                                                                                                                                                 
[29] " enemies massive conspiracy threatening cmon know whos going win every brawl shootout car chase "                                                                                     
[30] " end dont feel nearly satisfied results "                                                                                                                                             
[31] " filmmakers good job everything unoriginal possible "                                                                                                                                 
[32] " city never mentioned name assume seattle since cars washington license plates always raining "                                                                                       
