 [1] " series erotic thrillers flooded videoshelves early s came frenchcanadian coproduction max fischer "                                                         
 [2] " movie set paris hero struggling american author david mirkine judd nelson time specialised playing losers people edge sanity suffers terrible writers bloc "
 [3] " manages overcome crisis beginning romantic relationship beautiful model anabelle laurence treill "                                                          
 [4] "unfortunately hangs jet set circles gradually makes mirkine pathologically jealous "                                                                         
 [5] " connection powerful david caravan pierce brosnan make mirkine step line reason sanity put motion whole series violent tragic events "                       
 [6] "although pseudoerotic scenes elements plot indeed make film erotic thriller drama probably appropriate genre label "                                         
 [7] "pacing film simply slow thrill viewers patient enough sit entirety wait long time interesting significant developments "                                     
 [8] "low budget also becomes painfully visible physical attributes laurence treill thing worth watching film "                                                    
 [9] "unfortunately film little supposedly erotic scenes wanted watch erotic thriller reasons feel disappointed "                                                  
[10] "instead settle pointless slow scenes involving nelson brosnan laurence treills attempts serious acting "                                                     
[11] " definitely worth spending hour half someones precious time "                                                                                                
