 [1] " classic story production ruined "                                                                                                                                                                              
 [2] "marking centennial anniversary h g wells classic new line cinema armed stellar cast expert makeup effects man stan winston alien predator terminator etc churns yet another hollywood film based classic novel "
 [3] " course production doubt much superior compared earlier movies one made back title island lost souls sounds like much better title "                                                                            
 [4] " story begins edward douglas thewlis un representative sent oversee peace treaty somewhere south pacific saved brink death montgomery kilmer plane crashes sea "                                                
 [5] "douglas soon learns montgomery working dr moreau incidently owns island also reputable geneticist awarded nobel prize "                                                                                         
 [6] " hosts reluctance allow freely move around island becomes clear stumbled moreaus lab monstrous birth progress "                                                                                                 
 [7] "even worse workers lab exactly normal people "                                                                                                                                                                  
 [8] "douglas stumbles across yet another shocking discovery led beastpeople community considers dr moreau maker "                                                                                                    
 [9] "using shocktherapy law dr moreau long able keep beastpeople civilised extent animalmen just savage controlled "                                                                                                 
[10] " island dr "                                                                                                                                                                                                    
[11] "moreau questions ability men playing god "                                                                                                                                                                      
[12] "dr moreau man obsessed creating race beings free hate violence savage within every beast something one can suppress long "                                                                                      
[13] "moreau doubt interesting premise within grasp "                                                                                                                                                                 
[14] "even production failed make "                                                                                                                                                                                   
[15] " many characters put attention worst thing characters prioritized audience led believe particular character important know perishes rather "                                                                    
[16] "ungloriously times "                                                                                                                                                                                            
[17] "perhaps redemption development beast people especially aissa balk human moreaus creations "                                                                                                                     
[18] " two important characters montgomery dr moreau receive development area script fails miserably "                                                                                                                
[19] " screen time used character interaction development "                                                                                                                                                           
[20] " really liked better say delved dr moreaus obsession montgomerys purpose story justification beastpeople rebel "                                                                                                
[21] "maybe nature screenplay incidently incorporate much action sequences film forced filmmakers cut long story short make action film anything else still summer movies marketable "                                
[22] " special effects really nothing anyone shout "                                                                                                                                                                  
[23] " say beastmen looked just bit realistic apes planet apes "                                                                                                                                                      
[24] " h g wells classic really potential good film "                                                                                                                                                                 
[25] "unfortunately adaptations still decide focus attention really bring important message makes entire essence story "                                                                                              
[26] " third outing island dr moreau "                                                                                                                                                                                
[27] "accomplishes little nothing inferior version planet apes "                                                                                                                                                      
[28] " flying inkpot rating system wait tv broadcast "                                                                                                                                                                
[29] " little creaky still better staying home gotcha "                                                                                                                                                               
[30] " pretty good bring friend "                                                                                                                                                                                     
[31] " amazing potent stuff "                                                                                                                                                                                         
[32] " perfection "                                                                                                                                                                                                   
[33] "see twice "                                                                                                                                                                                                     
