 [1] " may critic alive harbors much affection shlock monster movies "                                                                                                                                                 
 [2] " delighted sneakysmart entertainment ron underwoods bigundergroundworm yarn tremors even giggled last years criticallysavaged bigunderwatersnake yarn anaconda "                                                 
 [3] "something films causes lower inhibitions return saturday afternoons youth spent company ghidrah creature black lagoon blob "                                                                                     
 [4] "deep rising bigunderseaserpent yarn doesnt quite pass test "                                                                                                                                                     
 [5] "sure enough modern monster movie ingredients place conspicuously multiethnicmultinational collection bait excuse "                                                                                               
 [6] " characters isolated location derelict cruise ship south china sea comic relief cgienhanced grossouts least one big explosion "                                                                                  
 [7] " toocheesytobeaccidental elements like sleazy shipping magnate anthony heald also appears doctorate marine biology slinky international jewel thief famke janssen whose white cotton tank top hides heart gold " 
 [8] " happens deep rising noteworthy primarily mechanical manner spits ingredients "                                                                                                                                  
 [9] " terrorist crew led squintyeyed mercenary hanover wes studi piloted squintyeyed boat captain finnegan treat williams shows loot cruise ship sea monsters show eat mercenary crew survivors make closing credits "
[10] " go lights "                                                                                                                                                                                                     
[11] " hard work much enthusiasm sort joyless filmmaking especially monster moview make laugh every time makes scream "                                                                                                
[12] " laughs provided almost entirely kevin j oconnor generally amusing crews fraidycat mechanic "                                                                                                                    
[13] "writerdirector stephen sommers seems concerned creating tone actionhorror menace something overpopulated goredrenched skeletons something gunfire special effects taken bit seriously "                          
[14] "deep rising missing one unmistakable cue expected ridiculous good time hide eyes "                                                                                                                               
[15] "case point comparing deep rising recent cousin anaconda "                                                                                                                                                        
[16] " deep rising one creatures victims regurgitated back view partially digested still alive "                                                                                                                       
[17] " shrieks horror freakish appearance pain moment bit disturbing laughable "                                                                                                                                       
[18] " anaconda also see regurgitated victim partially digested still alive "                                                                                                                                          
[19] " looks another character "                                                                                                                                                                                       
[20] "winks "                                                                                                                                                                                                          
[21] "make mistake deep rising anaconda beat heck comes technical proficiency pacing "                                                                                                                                 
[22] " also gloomy uninspired nearly enough fun "                                                                                                                                                                      
[23] " dont ask much monster movies ask act like monster movies "                                                                                                                                                      
[24] " dont show fantastically impressive massive beast tentacles aflailing "                                                                                                                                          
[25] "just show massive beast burping ill figure get point "                                                                                                                                                           
