 [1] " highly intelligent life form completely electronic nature beams onto russian science vessel "                                                                             
 [2] "well point movie strays becoming decent original movie simply becomes predictable scifi thriller "                                                                         
 [3] "anyhow life form takes control computers russian vessel starts creating highly advanced robots help gruesome task exterminating virus known man "                          
 [4] " original crew russian vessel exterminated hapless crew tug discovers derelict ship tries salvage "                                                                        
 [5] " needs said happens conflict lies movie predictable "                                                                                                                      
 [6] " story full shallow characters dont much subsist "                                                                                                                         
 [7] " captain tug played donald sutherland makes irrational choice irrational choice leaving audience wondering survived long enough reach age looks s "                        
 [8] " add shown motley crew times seems highly skilled specific fields others seems barely capable basic tasks "                                                                
 [9] " supposed capabilities characters leads one wonder tug transporting cargo middle pacific typhoon less "                                                                    
[10] "none characters seem work together always bickering vying form control "                                                                                                   
[11] " makes sense ever takes away story story full holes extremely predictable "                                                                                                
[12] " flaws actual story helped along special effects "                                                                                                                         
[13] " waves generated part typhoon make look like boat small model sitting tub someone simply creating waves "                                                                  
[14] " looks genuinely fake granted trying recreate typhoon hurricane easy stretch imagination storm approach style similar huge wave deep impact ends looking corny amateurish "
[15] "also topic flaws robotics advanced life form creates seem move extremely slowly "                                                                                          
[16] " life form advanced able create robotics able create move faster "                                                                                                         
[17] "regardless special effects movie many cases take away film rather add "                                                                                                    
[18] " actual casting movie finally nothing complain "                                                                                                                           
[19] " actors superb highly doubtful chimpanzees difficulty acting roles "                                                                                                       
[20] " cast present probably saved movie absolute catastrophe "                                                                                                                  
[21] "watching actors act story made bearable barely "                                                                                                                           
[22] " one saving grace movie highly action packed always seemed something happening "                                                                                           
[23] " going movie expecting see anything grand going kill time watch mediocre scifi thriller wont disappointed "                                                                
[24] " movie latest genre originally created aliens little try cash aspect "                                                                                                     
[25] " movie best left video even might advised simply wait one major networks air tv "                                                                                          
