 [1] "ok admit iti find camp amusement spice girls "                                                                                                                                                                                                                                                                                                                                                                                                                                                      
 [2] "yes spice girls gimmicky individual identities annoyingly infectious bubblegum pop hooks cheesy unifying mantra girl power "                                                                                                                                                                                                                                                                                                                                                                        
 [3] " even guilty pleasure appeal isnt enough carry big screen debut junky mess aptly named shite world spice world "                                                                                                                                                                                                                                                                                                                                                                                    
 [4] " film begins amusingly enough cheeky esque title sequence british quintet scary melanie brown baby emma bunton sporty melanie chisolm ginger geri halliwell posh victoria adams introduced one one much surprise excited slightly mocking cheers press audience croon silky ballad much tune sound right home actual james bond film "                                                                                                                                                              
 [5] " minutes elton john cameo later comes introductory tour numerous plotlines run film spicy ones go european publicity tour leading first live concert londons royal albert hall film producer george wendt screenwriter mark mckinney pitch various film ideas girls manager clifford richard e grant documentary film crew follows girls pregnant mate naoki mori group rapidly approaches due date tabloid publisher barry humphries attempts destroy group help sneaky shutterbug richard obrien "
 [6] "capped live rendition girls bouncy hit say youll wealth laughs merriment sure follow right "                                                                                                                                                                                                                                                                                                                                                                                                        
 [7] "wrong downhill spice world collapses series misfired comedy sketches "                                                                                                                                                                                                                                                                                                                                                                                                                              
 [8] " must give girls credit refreshing willingness make fun writer kim fuller director bob spiers can barely come funny joke much less organized framework wacky goingson "                                                                                                                                                                                                                                                                                                                             
 [9] "spice world jumps vignette vignette subplot subplot direction little sense one minute girls meet aliens joke another stage daring rescue two young fans fall water boat ride "                                                                                                                                                                                                                                                                                                                      
[10] " decent joke slips cracks thereduring dance bootcamp scene girls sing lyric know got farstrength courage wonderbra much material even funny chuckle level "                                                                                                                                                                                                                                                                                                                                         
[11] " gags just plain pointless roger moores recurring role mysterious chief dispenses cryptic metaphorheavy advice clifford "                                                                                                                                                                                                                                                                                                                                                                           
[12] " reason can think anyone find funny fact moore played james bond "                                                                                                                                                                                                                                                                                                                                                                                                                                  
[13] "ha ha "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
[14] " weak script think theres one insurmountable problem even attempting make spice girls movie girls "                                                                                                                                                                                                                                                                                                                                                                                                 
[15] " point cant act record really cant individual personas works gimmick span fourminute music video thin survive outside truncated video bite mtv world "                                                                                                                                                                                                                                                                                                                                              
[16] "posh garnered enthusiastic cheers introductions comes best default persona rich bitch easily translates character film "                                                                                                                                                                                                                                                                                                                                                                            
[17] "babys persona young innocent lesser extent also works remaining girls identities little harder flesh "                                                                                                                                                                                                                                                                                                                                                                                              
[18] " really isnt much sporty besides exercise every often exactly fuller spiers exactly entails ginger scary "                                                                                                                                                                                                                                                                                                                                                                                          
[19] "apparently just wardrobes "                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
[20] "spice world manages pick steam late going following flashback performance spices signature hit wannabe "                                                                                                                                                                                                                                                                                                                                                                                            
[21] " song grating ever energy number gives proceedings muchneeded shot arm setting stage wave selfreferential humor stemmed screenwriters film ideas film almost mirrors robert altmans player way film snails "                                                                                                                                                                                                                                                                                        
[22] " section film involving manner derringdo involving speeding bus perhaps effective also points storylines publisher documentary crew lack satisfactory payoff "                                                                                                                                                                                                                                                                                                                                      
[23] "spice world harmless entertainment suitable entire family will please spice faithful "                                                                                                                                                                                                                                                                                                                                                                                                              
[24] " sloppy enterprise surely wont win new fans group sorely needs bolster rapidly waning girl power states "                                                                                                                                                                                                                                                                                                                                                                                           
[25] " hype disappears spice world will likely serve spices final hurrah america "                                                                                                                                                                                                                                                                                                                                                                                                                        
