 [1] " watching loser occurred amy heckerlings true genius filmmaker casting "                                                                                                                                                    
 [2] " fast times ridgemont high gave us sean penns jeff spicoli look whos talking turned bruce willis wisecracking baby provided john travolta first career revival clueless found star vehicle adorableness alicia silverstone "
 [3] " seems understand instinctively find performers audience will like spite flaws "                                                                                                                                            
 [4] "unfortunately may also starting understand understands "                                                                                                                                                                    
 [5] "giving appealing actors appealing script creates likeable movies "                                                                                                                                                          
 [6] "giving appealing actors script appeal movie makes unexpectedly awful films like loser "                                                                                                                                     
 [7] "naturally heckerling makes protagonist allaround swell guy "                                                                                                                                                                
 [8] "paul tannek jason biggs smalltown boy gets scholarship nyu instantly finds island compassion diligence coldhearted big city "                                                                                               
 [9] "paul kind guy gives seat subway elderly woman roommates adam zak orth chris tom sadoski noah jimmi simpson kind guys blast music let waterbeds leak paul "                                                                  
[10] "paul also kind guy adores girls afar case lovely dora diamond mena suvari "                                                                                                                                                 
[11] "dora problems including shortage funds pay tuition relationship professor edward alcott greg kinnear thats slightly onesided "                                                                                              
[12] "theyre two conscientious kids love animals homeless people clearly belong together even paul loser "                                                                                                                        
[13] " must confess suckered heckerlings casting "                                                                                                                                                                                
[14] "jason biggs engaging performer whose unconventional looks make even easier embrace suvari coquette undercurrent intelligence "                                                                                              
[15] "theyre pleasant enough watch heckerling gives us plenty scenes establishing nice nice respective antagonists arent "                                                                                                        
[16] " gradually becomes clear theres virtually nothing loser scenes sort "                                                                                                                                                       
[17] " theory loser romantic comedy scarcely laugh found entire film notable exception cameo scenestealing comic actor video store clerk "                                                                                        
[18] "instead taking time make characters situations funny heckerling spends minutes making characters situations pathetic "                                                                                                      
[19] " shows none ear quirky dialogue sparked clueless films interest lively plotting surprisingly since cluelesss plot came via jane austens emma "                                                                              
[20] " simply turns film pity party "                                                                                                                                                                                             
[21] "since loser film composed almost entirely establishing character might think characters interesting least slightly complicated "                                                                                            
[22] "instead people either perfect unredeemable theres reason watch "                                                                                                                                                            
[23] "paul isnt just nice guy hes flawless consequently hes central character absolutely growing "                                                                                                                                
[24] " roommates arent just inconsiderate theyre actively evilblackmailing professor alcott drugging women rohypnol generally giving humanity bad name "                                                                          
[25] " professor alcott isnt just manipulative turns dora house slave "                                                                                                                                                           
[26] "doras unthinking devotion alcott whiff basic human frailty found loser even isnt explored sufficient detail "                                                                                                               
[27] "theres ambiguity second snippet alan cummings broadway performance emcee cabaret rest loser one thing turn supporting characters comic exaggerations another flatten leads easily digestible mush "                         
[28] " help comic exaggerations somehow "                                                                                                                                                                                         
[29] " dont know "                                                                                                                                                                                                                
[30] "comic "                                                                                                                                                                                                                     
[31] "still spent much film holding ridiculous hope heckerling somehow salvage loser tedium justify desire like paul dora "                                                                                                       
[32] " hope dissolved moment heckerling underscored sequence paul throes unrequited love simon garfunkels scarborough faircanticle "                                                                                              
[33] "instead giving sequence knowing winka reference graduate hint paul becoming overlysensitive clichheckerling plays deadly straight "                                                                                         
[34] "even scenes scream light comic touch bit poke protagonists foibles finds impossible stray gospel paul saint "                                                                                                               
[35] "cluelesss cher selfabsorption manipulative tendencies balance cuteness "                                                                                                                                                    
[36] " loser amy heckerling shows leaden hand material demands friskiness one show wit involves naming pauls dorm hunts hall erstwhile bowery boy huntz hall "                                                                    
[37] " gift casting proved curse "                                                                                                                                                                                                
[38] "loser may crashing bore gee arent two kids swell "                                                                                                                                                                          
