 [1] " double jeopardy stakes high "                                                                                                                        
 [2] "think plot rehash sleeping enemy rearrange details gender stalker "                                                                                   
 [3] " finished product although able maintain viewers attention predictable unexciting thriller idiotic script "                                           
 [4] "alex ill take homicide "                                                                                                                              
 [5] "libby parsons ashley judd happily married mom leading normal life "                                                                                   
 [6] "one night husband nick bruce greenwood takes romantic escape sailboat "                                                                               
 [7] "libby awakens middle night find covered blood nick strangely disappeared "                                                                            
 [8] " follows trail bloody footprints deck handles fallen knife like stupid character spotted coast guard responding distress signal sent earlier evening "
 [9] "nick presumed dead although pleads innocence libby tried convicted murder husband "                                                                   
[10] "now please dont think im spoiling vital plot details informative trailer already spilled beans "                                                      
[11] " havent seen preview dont read "                                                                                                                      
[12] " seriously inane screenplay douglas weisberg douglas s cook elementary average viewer will two three steps ahead characters "                         
[13] " vital scenes movie anticipating every twist surprise eventually popped screen "                                                                      
[14] " imagine writers presume core audience double jeopardy naive group individuals "                                                                      
[15] " unfortunately will distracted moronic plot appreciate positive aspects production "                                                                  
[16] "one tommy lee jones plays travis lehman parole officer given tedious task watching libby serves sentence prison "                                     
[17] "jones always wonderful authority figure hes certainly familiar sort role played well fugitive us marshals "                                           
[18] "judd likable heroin gusto also chance flex acting abilities "                                                                                         
[19] " emotionally unconvincing actress tremendously fun juvenile role perking movie like injection antidepressant "                                        
[20] " actors relationship together present onetwo punch prevents double jeopardy derailing entirely "                                                      
[21] " now back plot "                                                                                                                                      
[22] " behind bars libby learns interesting little bit information person cant convicted crime twice "                                                      
[23] " law called double jeopardy motive hunting husband "                                                                                                  
[24] " may still alive "                                                                                                                                    
[25] "yes heard right "                                                                                                                                     
[26] " movie degenerates crosscountry chase everything expect happen "                                                                                      
[27] " "                                                                                                                                                    
[28] " final scenes redeemed film poorly handled director bruce beresford whose previous work centers highly around drama driving miss daisy paradise road "
[29] "ironically elements like driving force libby reunite son dont quite work "                                                                            
[30] " least double jeopardy paced well enough satisfy diehard fans two stars "                                                                             
[31] "unfortunately jones lacks edge sam gerard fugitive real depth character skin deep "                                                                   
[32] " ashley judd welcome considering material memorable comic moments "                                                                                   
[33] "judd particular hilarious scene wards oncoming male explaining check parole officer "                                                                 
[34] "hmmm "                                                                                                                                                
[35] "perhaps made good comedy "                                                                                                                            
[36] " disappointing makings competent action film "                                                                                                        
[37] " nicely shot choreographed downtown vancouver will entertain arent turned woeful storyline "                                                          
[38] " tis shame double jeopardy adult thriller wouldnt fool children "                                                                                     
