 [1] " circumstances discussing ending film extent will particular review "                                                                                                                                                                  
 [2] "however order fully explain exactly movie awful minute dissection ending necessary "                                                                                                                                                   
 [3] "even though will reveal details last scenes proceed risk "                                                                                                                                                                             
 [4] " movie opens quite poorly might add child psychologist malcolm crowe bruce willis looking like dragged trailer wee hours morning shoot scene wife intruded upon one malcolms past patients "                                           
 [5] "distraught suicidal man cameo new kid block donnie wahlberg shoots malcolm turns gun "                                                                                                                                                 
 [6] "cut next fall find good doctor quietly observing latest case trouble young man named cole haley joel osment one child actors didnt want bludgeoned head blunt instrument "                                                             
 [7] " minutes seemingly unrelated freak occurrences learn cole sixth sense gift able communicate dead "                                                                                                                                     
 [8] " say healing begins "                                                                                                                                                                                                                  
 [9] " sixth sense unexpected popularity founded upon twist ending knew going film one roger eberts colleges kind enough give away recent segment siskel ebert "                                                                             
[10] "although first enraged established film critic callously ruin film thousands patrons soon realized turn events fact blessing disguise ive always sucker surprise endings favorite movie usual suspects rarely dislike film sports one "
[11] " since knew major plot twist coming films conclusion possibly bamboozled loving bad movie solely ending something ive fallen victim past eliminated "                                                                                  
[12] " indeed viewing sixth sense prove quite enlightening experiment "                                                                                                                                                                      
[13] "stripped element surprise film put task showing really instead simply hiding behind shocking conclusion "                                                                                                                              
[14] " seeing true colors came conclusion sixth sense despite many champions movie may say void real power "                                                                                                                                 
[15] " neat concept one justifies made featurelength movie "                                                                                                                                                                                 
[16] " fact sixth sense relies strongly finale rest film develops sort prelude supposedly earthshattering revelation yet come "                                                                                                              
[17] " final moments come huge letdown end makes sense "                                                                                                                                                                                     
[18] " stupefied heights ineptitude completely idiotic fundamental rare level "                                                                                                                                                              
[19] " wont go details suffice say far can tell negates rest movie extent anyone buys even second must suffering acute case attention deficit disorder "                                                                                     
[20] "now fairness say sure guessed ending however stupid may revealed hand "                                                                                                                                                                
[21] "however feel confident well anyone seen twilight zone episodes seen coming mile away "                                                                                                                                                 
[22] " fact moviegoers nation wide surprised ending still stumped "                                                                                                                                                                          
[23] "ironically fully appreciate best scene cole malcolm attending little girls funeral viewer required aware rare psychological disorder called munchausen syndrome proxy "                                                                
[24] " wouldnt even known mental disease hadnt pure dumb luck caught dateline nbc week feature story "                                                                                                                                       
[25] "despite blessed really amazing cinematography brauva performance osment kid casting calls going phantom menace end sixth sense chalkfull contradictions just isnt plausible enough warrant even slight recommendation "                
