 [1] " gordy movie minutelong sesame street skit bad one "                                                                                                                          
 [2] " movie stupid dumb depressing think hollywood executives actually gave green light even surprising fact disney movie "                                                        
 [3] "im sure children target audience movie kids age five may able tolerate "                                                                                                      
 [4] " story farm piglet named gordy voiced garms whose family taken away north know means death "                                                                                  
 [5] " course can hear animals talk actually went trouble attempting sync voices mouths comes terrible "                                                                            
 [6] "actually almost funny way "                                                                                                                                                   
 [7] " remotely interesting likable character soon appears little girl named jinnie sue macallister young sees gordy back truck essentially steals "                                
 [8] "jinnie country singer film goes huge tangent show little concert people dancing "                                                                                             
 [9] " point "                                                                                                                                                                      
[10] "maybe one producers relatives wanted show camera promote something "                                                                                                          
[11] " cut huge social gathering drop another young kid named hank royce roescher sad divorced mother dating "                                                                      
[12] " leaves party meets jinnie sue accidentally falls pool probably sitting diving board suit nah didnt see one coming "                                                          
[13] "starts drown miraculously saved gordy pushes inflatable float saves "                                                                                                         
[14] " insanely stupid already story quickly changes jinnie gives gordy hank ends becoming ceo food processing corporation hanks grandfather original ceo dies leaves fortune hank "
[15] " gordy "                                                                                                                                                                      
[16] " course must villain even villain donadio sipes isnt evil "                                                                                                                   
[17] " never raises voice becomes angry course typical idiot goons kidnap gordy just beyond stupid cartoony constantly two steps ahead story "                                      
[18] " hard tell whether overall corniness cheesiness movie intentional family film filmmakers just untalented stupid "                                                             
[19] " times gordy tolerable watch thus earning one star dreaded z "                                                                                                                
[20] " just unbelievably boring cliche dumb unfunny corny just plain bad may scare children certainly disturbed "                                                                   
[21] " see also babe "                                                                                                                                                              
