 [1] "note may consider portions following text spoilers "                                                                                                                                                                                                                                                                                                                                                              
 [2] " forewarned "                                                                                                                                                                                                                                                                                                                                                                                                     
 [3] " rather easy start tuning twenty minutes finn taylors first feature film dream fishes plodding tedious opening sequence finally pays potentially provocative setup "                                                                                                                                                                                                                                              
 [4] " hopeful expectations however soon vanquished film settles upon uninvolving mismatchedbuddy movie rarely funny aspires nearly affecting eventually strives films latter half "                                                                                                                                                                                                                                    
 [5] " films central characters terry david arquette depressed lonely voyeur claims despondent since death wife automobile accident nick brad hunt carefree young street tough later revealed terminally ill "                                                                                                                                                                                                          
 [6] "nick lives apartment building across terry spies trysts nick girlfriend liz kathryn erbe trusty set binoculars two young men first formally meet bay bridge halfdrunk terry precariously teeters upon edge unconvincingly vowing suicide "                                                                                                                                                                        
 [7] "nick casually asks terrys wristwatch eventually cons terry trade watch bottle pills "                                                                                                                                                                                                                                                                                                                             
 [8] " course terry finds pills end presumed lethal effects angrily sets find nick order retrieve watch "                                                                                                                                                                                                                                                                                                               
 [9] "learning nicks condition handful weeks left terrys compassion kicks two eventually come distinctly peculiar arrangement terry will agree bankroll dying nicks lifelong fantasies nick will fulfill terrys death wish killing "                                                                                                                                                                                    
[10] " promising premise mr taylors film gone number ambitious ways point instead chooses capitalise upon obvious inversion characters terry repessed mournful character wants die nick free spirit joie de vivre dying wants live takes easy route turning dream fishes typical lark two characters engage series generally dull exploits straightlaced character learns enjoy ppreciate life hooked quirky character "
[11] " bythenumbers plotting buddy movieroad movie redux "                                                                                                                                                                                                                                                                                                                                                              
[12] "however dream fishes hampered uninspired storyline characters carry story helps film least one protagonists least somewhat empathetic likeable "                                                                                                                                                                                                                                                                  
[13] "unfortunately case films leading characters thorougly uninteresting annoying giving audience little sympathise respective plights even less reason want follow onscreen exploits "                                                                                                                                                                                                                                
[14] "far romp fatal flaw makes dream fishes like chore endure playful jaunt undermines attempts emotional resonance latter stages film two men begin bond "                                                                                                                                                                                                                                                            
[15] "mr taylors dialogue sporadically falls flat dream fishes attempting capture quirky clever tone often comes across instead hopelessly contrived witness lines asked something interesting like enjoy pain "                                                                                                                                                                                                        
[16] " see thats provocative leaves room questions "                                                                                                                                                                                                                                                                                                                                                                    
[17] " film enjoys inspired moments urn scene session nude bowling policeman joining terry nicks acid trip unfortunatetely instances far part humour dream fishes registers attempts rather actual successes "                                                                                                                                                                                                          
[18] " occurs particularly often films opening sequence terry wrestling bedridden nick watch hospital im realising intended funny although nary smile crept upon lips probably due obvious fact painfully clear audience outset terry going thwarted initial suicide attempts sapping element surprise amusement nicks scheme tricking film wherewithal kill leading star opening ten minutes "                         
[19] " entire sequence clearly exercise character exposition attempts humour terribly diminished utter predictability "                                                                                                                                                                                                                                                                                                 
[20] "among cast coming best david arquette current master portrayal meek squirming stammering freshfaced characters terrific lead george huangs swimming sharks gets apply adeptness timidity terry "                                                                                                                                                                                                                  
[21] "mr taylor ambitiously employs interesting visual technique portions film set urban environment processed appear extremely grainy heavily saturated opposed bright crisp look smalltown scenes "                                                                                                                                                                                                                   
[22] " charge dream fishess protagonists wholly unempathetic bit odd one coming seem predilection films unlikeable characters indeed many cases minority supporting films condemned interminable due difficult audienceunfriendly nature characters "                                                                                                                                                                   
[23] " dream fishes though find flip side coin often hoping film quickly conclude nick character just hurry die "                                                                                                                                                                                                                                                                                                       
