 [1] "susan grangers review two can play game screen gems "                                                                                                                                                                              
 [2] "since success waiting exhale several romantic comedies africanamerican professionals "                                                                                                                                             
 [3] " female revenge fantasy vivica fox plays shante smith stunning ad exec seems reached pinnacle success mansion sporty car idyllic relationship hunky hotshot lawyer morris chestnut "                                               
 [4] "shes point life dispenses advice grateful girlfriends monique wendy racquel robinson tamala jones "                                                                                                                                
 [5] " man messes matter small smugly decrees yuh gots punish "                                                                                                                                                                          
 [6] " catches hot man dancing bar smart sexy rival gabrielle union devises version rules day tough love emotionally punishing plan get back "                                                                                           
 [7] "unfortunately writerdirector mark brown player breaks cardinal rule romantic comedy like protagonist shrill selfcongratulatory shante smith smirking superficial spiteful shrew doesnt realize rational rules always applied love "
 [8] " talk directly camera gets stale quickly day one day two titlecard device underscores tedium "                                                                                                                                     
 [9] "comic anthony anderson scores chestnuts boisterous bestfriend singer bobby brown cameo scuzzy mechanic whos given smooth makeover ms robinson "                                                                                    
[10] " outtakes closing credits contain humor film "                                                                                                                                                                                     
[11] " granger movie gauge two can play game smarmy slick filled misogynistic attitude blatant product placements cocacola miller genuine draft little else "                                                                            
[12] " rrated explicit sexual language pseudohip battle sexes audience loses "                                                                                                                                                           
