 [1] " best thing fact good thing can say dark city made want go see l confidential "                                                                                                               
 [2] " go rent body heat see william hurt real noir "                                                                                                                                               
 [3] " even god help palmetto "                                                                                                                                                                     
 [4] "alex proyass new movie screams atmosphere "                                                                                                                                                   
 [5] " screamed get theater "                                                                                                                                                                       
 [6] "new line cinema spent millions dollars creating expressionistic film noir visuals paying actors doesnt way get back "                                                                         
 [7] " paid matinee screening dont way get money back either "                                                                                                                                      
 [8] "youll hear lot critics look feel movie "                                                                                                                                                      
 [9] " will admit cinematographers costume designers set artists cgi graphics geeks worked hard create stunning nightmarish future world always late night complete rotary phones automats fedoras "
[10] "ive got news fellows dont care hard worked visually stunning movie looks wasted time mine working movie without plot without clear sense direction wanted go without soul reason care "       
[11] " movie starts ohsopromising "                                                                                                                                                                 
[12] "john murdoch rufus sewell lying bathtub sort seedy hotel real life boarded long ago "                                                                                                         
[13] " dead mutilated prostitute room surprise lost memory "                                                                                                                                        
[14] " phone rings sinistersounding man claiming doctor telling flee life "                                                                                                                         
[15] " well good right "                                                                                                                                                                            
[16] "wrong "                                                                                                                                                                                       
[17] "apparently someone decided audience just bit dim figure intricacies plot "                                                                                                                    
[18] " getting popular assumption hollywood "                                                                                                                                                       
[19] " actual beginning movie sewell running life rather voiceover narration aforementioned doctor keifer sutherland explaining exactly going responsible "                                         
[20] " though sam piano player told us rick ilsa getting paris first three minutes casablanca "                                                                                                     
[21] " wait thats fair casablanca "                                                                                                                                                                 
[22] " like watching new plotline first show want know really feel offscreen narrator explain gilligan wont getting island episode "                                                                
[23] " coherence plot goes faster insert monica lewinsky joke "                                                                                                                                     
[24] " characters just wander around city aimlessly bump apparent reason thats moves plot "                                                                                                         
[25] " left string unanswered questions dont make sense "                                                                                                                                           
[26] " given aliens unlimited omnipotent powers yet forget use critical moments get killed "                                                                                                        
[27] " given hero can tune powers yet uses convenient plot "                                                                                                                                        
[28] " given whole long list loose ends go nowhere "                                                                                                                                                
[29] "usually critics will say actor playing underwritten part isnt given much "                                                                                                                    
[30] " movie one given anything "                                                                                                                                                                   
[31] "sewell given impossible role man doesnt remember anything plays like "                                                                                                                        
[32] "um "                                                                                                                                                                                          
[33] " man doesnt remember anything "                                                                                                                                                               
[34] " aliens tall pastyfaced bald wear long black cloaks fedoras remind us theyre evil theres child alien well straight anne rice novel "                                                          
[35] "sutherland saddled limp twitchy eye breathy accent remind us hes league aliens "                                                                                                              
[36] " credit dark city boasts two impressive bits casting "                                                                                                                                        
[37] "william hurt perfectly cast worldweary inspector charged catching man murdering prostitutes city "                                                                                            
[38] "jennifer connelly playing sewells love interest given two alltoobrief moments screen lounge singer turns sexiest performace side jessica rabbit "                                             
[39] " instead dogged policeman femme fatale given central treatment script way selfrespecting noir movie theyre almost tangiential plot "                                                          
[40] " problem dark city bad science fiction movie pretending film noir "                                                                                                                           
[41] " essence film noir isnt proyas seems beleive breathy dialogue snapbrim fedoras tall bald evil villains make peter lorre curl corner "                                                         
[42] "dark city one bit intrigue moral ambiguity suspense anything else keeps us coming back noir classics "                                                                                        
[43] "dark city like intricately carved door kate winslet floats titanic "                                                                                                                          
[44] " exceptionlly wellmade intricately designed piece flotsam sailing around around middle ocean going nowhere "                                                                                  
