 [1] " homicide bad bmovie "                                                                                                                              
 [2] " prophetic question asked one leads one early scenes movie "                                                                                        
 [3] "let clear things cupcake isnt bad bmovie really bad bmovie "                                                                                        
 [4] " bad almost good "                                                                                                                                  
 [5] "almost quite "                                                                                                                                      
 [6] " movie starts s space aliens sending botched experiment earth "                                                                                     
 [7] " bunch sluglike creatures kill people take bodies "                                                                                                 
 [8] " slugs first victim fifties cryogenically frozen danger anybody "                                                                                   
 [9] " two loser university students unfreeze "                                                                                                           
[10] " slugs inside promptly begin wreaking havoc turning coeds slug zombies "                                                                            
[11] " slightly crazed cop tom atkins requisite girl face angel jill whitlow join two geeky university students jason lively steve marshall battle slugs "
[12] " less falls four make world safe evil slugs "                                                                                                       
[13] " acting bad capital b story worse "                                                                                                                 
[14] " special effects somewhere old rerun star trek see home movie "                                                                                     
[15] " saving grace requisite titshot courtesy jill whitlow "                                                                                             
[16] " absolutely nothing story liked "                                                                                                                   
[17] "actually high point movie "                                                                                                                         
[18] " course isnt really saying much "                                                                                                                   
[19] " story moves around hap hazard fashion "                                                                                                            
[20] " gives leg horror films "                                                                                                                           
[21] "unlike movies genre actually story "                                                                                                                
[22] " great one "                                                                                                                                        
[23] " one long line movies s thrown together capitalize success friday th halloween nightmare elm street movies "                                        
[24] " randomly select movie horror section local video store probably luck something just good better "                                                  
[25] " night creeps might make nice addition bmovie horror marathon "                                                                                     
[26] "just dont upset cant find "                                                                                                                         
[27] " really wont missing much "                                                                                                                         
