 [1] "terrence malick made excellent minute film adaptation james jones world war ii novel "                                                             
 [2] "unfortunately buried within overlong overreaching hour long pseudoepic "                                                                           
 [3] " shame film features outstanding performance nick nolte "                                                                                          
 [4] " best scene nick noltes character lt col tall forced deal direct refusal capt staros elias koteas execute order "                                  
 [5] "noltes reaction transformation may best work career "                                                                                              
 [6] " terrence malick concentrated great performances nolte koteas well sean penn woody harrelson john cusack made truly great film "                   
 [7] "instead malick saddled film plodding pacing unnecessary flashbacks voiceover narration designed telegraph great philosophical underpinnings story "
 [8] " narration especially annoying much sounded like bad high school poetry "                                                                          
 [9] " lot editing core story transformed truly classic war film "                                                                                       
[10] "hopefully dvd version film will feature options suppress narration perhaps will even provide alternate shorter version film "                      
[11] " give film "                                                                                                                                       
