 [1] "exuniversal soldier luc battle group newermodel engineered fighters gone bad "                                                                                                                                                                                                                  
 [2] " review "                                                                                                                                                                                                                                                                                       
 [3] "jeanclaude van damme oneliner early universal soldier return latest attempt remain relevant sums entire movie says done "                                                                                                                                                                       
 [4] " film critic possibly sum van dammes recent film choices better "                                                                                                                                                                                                                               
 [5] " ageing action stars wisely moved film genres schwarzenegger makes many family comedies action films van damme stubbornly persists sticking used work martial arts guns "                                                                                                                       
 [6] " unwillingness perhaps inability move new genres caused van damme enter straight video world legionnaire never seeing inside multiplex "                                                                                                                                                        
 [7] " joins fellow martial artistaction star steven seagal watch film careers rapidly fizzle away "                                                                                                                                                                                                  
 [8] "universal soldier return truly poor "                                                                                                                                                                                                                                                           
 [9] " plot complete copy several action films decade specifically terminator judgement day similarly named soldier "                                                                                                                                                                                 
[10] "soldiers kurt russell older model supersoldier sent retirement circumstances forced battle successors good planet schwarzeneggers terminator t tried save john connor newer model killing machine t jeanclaude former universal soldier save planet rampage group guessed newer model soldiers "
[11] "considering poor box office performance soldier amazing project ever given goahead "                                                                                                                                                                                                            
[12] "luc devereaux van damme sole remaining universal soldier unisol short returned normal muscular human form "                                                                                                                                                                                     
[13] " sequel technically fourth film series following two straighttovideo duds ignored plotwise luc now human trainerconsultant sorts unisol program "                                                                                                                                               
[14] "working dylan cotner xander berkeley interestingly also appeared t unisol program engineered tougher fiercer fighting force help supercomputer seth "                                                                                                                                           
[15] "unfortunately upon hearing program axed government seth takes control soldiers killing everyone building except luc partner maggie daughter hillary erin reporter trapped inside "                                                                                                              
[16] " rest film involves luc trying keep alive beating group nearindestructible soldiers notably romeo popular wrestler goldberg "                                                                                                                                                                   
[17] " lots fights gun battles lame plot developments noticeable lack plausibility "                                                                                                                                                                                                                  
[18] " many clich s film almost painful watch "                                                                                                                                                                                                                                                       
[19] "luc gets saddled task saving erin reporter early course single night go bickering falling kissing "                                                                                                                                                                                             
[20] "erin patheticallywritten character people getting brutally gunned around yet seem frighten finds time remind luc isnt leaving without story "                                                                                                                                                   
[21] "whatever "                                                                                                                                                                                                                                                                                      
[22] " laughable moments include luc going strip club get internet access b group rangers given good advice luc tells weapons useless shows specific gun work better choose go battle useless weapons anyway guess wins battle "                                                                      
[23] " one single scene universal soldier return originality "                                                                                                                                                                                                                                        
[24] " fuelled don davis loud driving music score films many fights become almost passable mostly full ol jeanclaude moves "                                                                                                                                                                          
[25] "director mic rodgers former stunt coordinator keeps action coming rapid pace token serious moments found "                                                                                                                                                                                      
[26] " past work evident many moments characters thrown windows tossed buildings sent flying air thanks explosion "                                                                                                                                                                                   
[27] " jeanclaude werent getting old slow compared younger martial arts film actors like jet li rodgers probably made decent action film "                                                                                                                                                            
[28] " place blame squarely van dammes feet however injustice "                                                                                                                                                                                                                                       
[29] "im sure anyone even robert deniro edward norton make writers william malone john fasanos script sound good "                                                                                                                                                                                    
[30] "one particularly painful scene erin asks luc sure aforementioned strip club will internet access "                                                                                                                                                                                              
[31] " cringes looks mutters uh uhm "                                                                                                                                                                                                                                                                 
[32] " saw minutes "                                                                                                                                                                                                                                                                                  
[33] "eh scripts indeed entire films saving grace goldberg "                                                                                                                                                                                                                                          
[34] " chews every scene obviously enjoying role immensely "                                                                                                                                                                                                                                          
[35] " even gives film laughs mutters things like really dont like guy every time fails kill luc "                                                                                                                                                                                                    
[36] "sadly presence enough turn universal soldier return anything better belowaverage action film truly deserves joined fellow sequels going straighttovideo "                                                                                                                                       
