 [1] " unless youre one people seen preview thousand times tv theaters "                                                                     
 [2] " can tell one thing now gave entire movie away "                                                                                       
 [3] " someone want base entire movie one premise give crucial detail away trailers beyond "                                                 
 [4] "however hadnt given away film wouldve still suprisingly devoid suspense given subject matter "                                         
 [5] "obviously producers thought remake deep end ocean throw tommy lee jones couple cliches call action drama "                             
 [6] " double jeopardy offers solid acting ashley judd tommy lee jones got first billing even though didnt see screen half much judd "       
 [7] " also offers genuinely funny clever fulloftension moments favorite judd waking coffin none can salvage film insanely predictable plot "
 [8] "half time im wondering whether im watching one overhyped tv miniseries always turn less exciting advertised "                          
 [9] "judging beginning end huge chunk middle might watching special hallmark presentation "                                                 
[10] " movies stretching almost two hour long film minutes worth material "                                                                  
[11] "implausible material less "                                                                                                            
[12] "loose interpretation one amendments aside many times movie thought possible "                                                          
[13] " kind stuff excusable popcorn movies one like double jeopardy tries pass serious drama "                                               
[14] "everything seems dragged overplayed "                                                                                                  
[15] " shouldve kept us dark let cat bag early "                                                                                             
