 [1] " stuck promise emblazoned original movies poster sequel "                                                                                                                                                                           
 [2] "scary movie nowhere near funny predecessor wayans brothers shawn marlon writing keenen ivory behind camera dont try "                                                                                                               
 [3] " defeats genre chosen spoof "                                                                                                                                                                                                       
 [4] " first movie outrageous lowbrow savage satire teen slasher flicks scream know last summer succeeded takenoprisoners attitude toward type film vogue familiar popular "                                                              
 [5] " scary movie filmmakers take haunted houseghost story format look grosses recent lame offerings respective remakes haunting house haunted hill draw audiences enter cultural psyche various teen slasher series "                   
 [6] "scary movie start promising wonderful spoof exorcist featuring james wood max von sydow role veronica cartwright lampooning ellen burstyn "                                                                                         
 [7] " course split pea soup punch line overabundant amount offers hope rest movie will just tasteless excessive "                                                                                                                        
 [8] " precredit sequence nothing main action features cast members original signing spend weekend creepy haunted mansion part university class project "                                                                                 
 [9] " jokes scatological offensive original lack takenoprisoners bite raised scary movie heights burlesque "                                                                                                                             
[10] "scary movie merely lurches one lame sendup another offering weak spoofs nike shoe ad everyone acrobatics basketball films lies beneath hannibal features faired adequately box office john woos mission impossible charlies angels "
[11] " wayans team writers least seven credited just threw ideas blender hoped theyd coalesce "                                                                                                                                           
[12] " dont "                                                                                                                                                                                                                             
[13] " pace original left breathless sequel moves speed wheeler carrying two tons concrete steep mountain road "                                                                                                                          
[14] " can almost hear reels panting "                                                                                                                                                                                                    
[15] "scary movie tries hard live original falls short "                                                                                                                                                                                  
[16] " dissatisfying spectacle weak sister good movie "                                                                                                                                                                                   
[17] " really scary aspect sequel disappointing really "                                                                                                                                                                                  
