 [1] "gregg arakis doom generation possibly worst film ever made "                                                                          
 [2] " see latest teen bisexual angst opus "                                                                                                
 [3] "first reviews fairly positive "                                                                                                       
 [4] "also cast consisting cameos dozens washed ex tv stars including christopher knight eve plumb shannen doherty david leisure promising "
 [5] "last wanted give arraki one chance "                                                                                                  
 [6] " mean guy cant untalented can "                                                                                                       
 [7] " answer question three letters long "                                                                                                 
 [8] "nowhere follows character dark wild odd journey los angeles "                                                                         
 [9] "since arraki doesnt know make anything coherent hard describe plot "                                                                  
[10] "lets just say dark spends bulk movie whining girlfriend wont make commitment jealous sleeps around guys girls "                       
[11] " remotely compelling storyline involves sarah lassez teen chance encounter famous tv star "                                           
[12] " turns nice guy doesnt care fame wishes walk street without mobbed fans "                                                             
[13] " story shocking twist tragic end see coming "                                                                                         
[14] " first time ever felt compassion character created arraki can attributed appealing performance lassez "                               
[15] " thought maybe arraki improving craft "                                                                                               
[16] " works better camera time around especially early scenes "                                                                            
[17] "halfway film didnt necessarily find enjoying film seemed like considerable improvement doom generation "                              
[18] " movie went arraki loses sensibility introduces us exploding heads twisted sex games alien abductions "                               
[19] " sad almost actually decent material ruined usual face im renegade maverick filmmaker look can attitude "                             
[20] " performances generally better doom generation isnt saying much "                                                                     
[21] " least dont suffer jonathan hideous man america schaech "                                                                             
[22] " however treated another round james im wooden keanu duval "                                                                          
[23] "sarah lassez gives best performance film kathleen robertson formerly now arrakis wife rachel true talented actresses caught mess "    
[24] " tv star cameos john ritter interesting deranged right wing tv evangelist "                                                           
[25] " prefer nowhere doom generation way prefer assassinated receive constant physical torture "                                           
[26] "maybe greg arraki doesnt want like characters "                                                                                       
[27] "maybe wants laugh make fun us try care "                                                                                              
[28] "maybe just wanted piss "                                                                                                              
[29] " successful "                                                                                                                         
