 [1] "first foremost think movie comes grief hands pg rating given "                                                                                                                                                                                                                                                                   
 [2] " us havent read james lee burke novel heavens prisoners based rabidly go buy tickets movies featuring combined talents alec baldwin eric roberts feel vaguely depressed notion swamps gangsters louisiana accents plots subplots plots well really just want see teri hatcher naked one movie youre going worry price admission "
 [3] "hopeful still "                                                                                                                                                                                                                                                                                                                  
 [4] "well let share moment sheer panic cold enervation big letdown semirobed hatcher purrs alec baldwin think butterfly "                                                                                                                                                                                                             
 [5] "butterfly "                                                                                                                                                                                                                                                                                                                      
 [6] " asked butterfly "                                                                                                                                                                                                                                                                                                               
 [7] " hit "                                                                                                                                                                                                                                                                                                                           
 [8] " scene snipped "                                                                                                                                                                                                                                                                                                                 
 [9] "damn godless pg rating show us butterfly "                                                                                                                                                                                                                                                                                       
[10] " want see goddamn butterfly "                                                                                                                                                                                                                                                                                                    
[11] " "                                                                                                                                                                                                                                                                                                                               
[12] " naked teri hatcher "                                                                                                                                                                                                                                                                                                            
[13] "forget "                                                                                                                                                                                                                                                                                                                         
[14] "okay "                                                                                                                                                                                                                                                                                                                           
[15] "now "                                                                                                                                                                                                                                                                                                                            
[16] "heavens prisoners exalchoholic excop dave robicheaux alec baldwin whos trying discover life anew running bait shop boat hire business loving downtoearth wife annie kelly lynch "                                                                                                                                                
[17] "everything dull hunky dory plane carrying illegal immigrants crashes almost ontop couple theyre boat "                                                                                                                                                                                                                           
[18] " plane nosedives water sinks wreckage robicheaux rescues little pixiefaced salvadoran girl wife immediately decide adopt "                                                                                                                                                                                                       
[19] " dont realise planes pilot also drug dealer plane sabotaged latters erstwhile colleagues "                                                                                                                                                                                                                                       
[20] " robicheaux discovers predictably advice wife wellmeaning dea agent two gangsters rough begins poking nose dont belong know man deserves misery hes going get "                                                                                                                                                                  
[21] " question now whether want dragged along ride tedious meandering yet utterly suspenseless plot unlovable hero guide "                                                                                                                                                                                                            
[22] " dave robicheaux alec baldwin fat "                                                                                                                                                                                                                                                                                              
[23] " seriously svelte thinking mans hero hunt red october outofshape guy doesnt look good rooftop chasing scene "                                                                                                                                                                                                                    
[24] "hes also unconvincing movies dramatic moments acting far can tell steven segallike economy expression "                                                                                                                                                                                                                          
[25] "threequarters way show youre probably waiting next scene bar robicheaux contemplates succumbing temptation whiskey bottle getting drunk beating someone getting beaten youll want beat little "                                                                                                                                  
[26] " hand mary stuart masterson kind wonderful fried green tomatoes benny joon cast downandout stripper fingers broken quite breath fresh air just right mix cynicism warmth insecurity humour movies endearing character "                                                                                                          
[27] "eric roberts bubba rocque always believable womanabusing bad guy knows box see final analysis coincidentally also directed phil joanou believable womanabusing bad guy knows box "                                                                                                                                               
[28] " lest forget teri hatchers role rather wellpublicised paid vacation playing lois lane tvs adventures lois clark "                                                                                                                                                                                                                
[29] " totally ridiculous rocques manipulative seductive cajun wife coming across devious mildly disgruntled au pair whos trying get back employer hasnt giving enough days "                                                                                                                                                          
[30] " probably safe say day job beckons "                                                                                                                                                                                                                                                                                             
[31] " end day none really worth hrs minutes personal misery "                                                                                                                                                                                                                                                                         
[32] " flying inkpots rating system wait video "                                                                                                                                                                                                                                                                                       
[33] " little creaky still better staying home gotcha "                                                                                                                                                                                                                                                                                
[34] " pretty good bring friend "                                                                                                                                                                                                                                                                                                      
[35] " amazing potent stuff "                                                                                                                                                                                                                                                                                                          
[36] " perfection "                                                                                                                                                                                                                                                                                                                    
[37] "see twice "                                                                                                                                                                                                                                                                                                                      
