 [1] " times youd think edtv entertaining film "                                                                                                                                                           
 [2] " mean can resist story average joe becomming celebrity life filmed every minute every day "                                                                                                          
 [3] " average joe ed perkuny matthew mcconaughay sappy lifeless creation wanders around trying solve everyones problems settle "                                                                          
 [4] "mcconaughay awful especially trying pull usual hollywood charm week beard torn jeans "                                                                                                               
 [5] "frankly charm devestating flop newton boys "                                                                                                                                                         
 [6] " overacts every way overexaggerant body language obsession kissing women every second gets chance cliched scene loses someone life drops knee cries "                                                
 [7] " rest cast good especially martin landau eds stepfather plays cute role closetodeath old guy makes witty comments "                                                                                  
 [8] "jenna elfman good little overemotional main problem keeps getting sucked bad films e "                                                                                                               
 [9] "cant hardly wait krippendorfs tribe "                                                                                                                                                                
[10] "woody harrelson eds brother ray usual eggheaded role comic wit well wrote book entitled brother pissed "                                                                                             
[11] "elizabeth hurley perfectly cast easy slut dennis hopper quick cameo eds biological father nice choice ironically coming role turned christof truman show "                                           
[12] "ellen degeneres stood executive awhile decides show must go much opposite head exec rob reiners opinion "                                                                                            
[13] " hate compare film truman show fact ashamed see movie "                                                                                                                                              
[14] " felt dropped college kindergarten seeing truman ed "                                                                                                                                                
[15] "edtv real wit genius typical hollywood "                                                                                                                                                             
[16] "extracting tv part movie simple plotline man steals brothers girlfriend girlfriend leaves town man gets new slut girlfriend feel like can move slut breaks real girlfriend comes back voila romance "
[17] " got restless movie almost walked "                                                                                                                                                                  
[18] " reason doesnt drop c grade fine supporting performances "                                                                                                                                           
[19] "adam almost lost nose "                                                                                                                                                                              
[20] " like "                                                                                                                                                                                              
[21] " like breathing "                                                                                                                                                                                    
[22] "jack nicholson chinatown "                                                                                                                                                                           
