 [1] "capsule one ten worst movies ever made "                                                                                                                                                                                           
 [2] "christopher lambert vs evil ninjas modernday japan "                                                                                                                                                                               
 [3] " nobody wins "                                                                                                                                                                                                                     
 [4] " hunted bad movie completely inept totally braindamaged almost feel affection "                                                                                                                                                    
 [5] " see showing movie friends getting good jolly guffaw werent also insanely xenophobic insulting "                                                                                                                                   
 [6] "christopher lambert plays computerparts salesman whos business japan "                                                                                                                                                             
 [7] " meets slinky young woman joan chen torrid night lovemaking manages witness death hands evil ninja clan leader john lone "                                                                                                         
 [8] "apparently unfinished business concluded getting slaughtered "                                                                                                                                                                     
 [9] "since lambert witness hes course next one die "                                                                                                                                                                                    
[10] "lets stop think second "                                                                                                                                                                                                           
[11] " lambert real life chased fanatical devotees ninja secret society hed lifespan measure atomic clock "                                                                                                                              
[12] " movie ninja manage kill just everyone except "                                                                                                                                                                                    
[13] " imagine japanese gods smiled lambert provided goof field radiates ten feet body "                                                                                                                                                 
[14] " know goof field invisible zone anyone intent harm becomes klutz matter real dexterity "                                                                                                                                           
[15] " course beginning movies problems "                                                                                                                                                                                                
[16] "lambert eventually finds pseudosafety longhaired modernday samurai yoshio harada partner yoko shimada may remember lady toda buntaro shogun "                                                                                      
[17] " two best things movie every scene authority presence actually look like belong even dressed full samurai armor wielding bows "                                                                                                    
[18] " script doesnt know hell "                                                                                                                                                                                                         
[19] "lone bad guy zerodimensional "                                                                                                                                                                                                     
[20] " badguy cliche wallow around one bad guy always exotic women dripping "                                                                                                                                                            
[21] " hunted elevated level insulting stereotype "                                                                                                                                                                                      
[22] "whats funny peripheral characters hunted sterotypes theres nice little scene tokyo cabdriver girl pachinko parlor many main characters unsalveageably hateful "                                                                    
[23] "also phenomenal instrumental troupe kodo assembled superior soundtrack get cd manages survive despite drek designed accompany "                                                                                                    
[24] " extended battle scene middle movie almost reason enough watch whole thing gory excellently staged fight bullet train shows real imagination moment smothers trying clumsily recouple whole thing movies relentlessly stupid plot "
[25] " time get final showdown lambert getting wield sword judging hamhanded editing one scene forged seven hours longer care "                                                                                                          
[26] " even given definitive information whether one key characters lives dies "                                                                                                                                                         
[27] "someone said key good art good movies good books whatever start somewhere interesting end somewhere interesting show respect audience along way "                                                                                  
[28] " movie bungles two three badly "                                                                                                                                                                                                   
