 [1] " following review contains harsh language "                                                                                                                                                                                                           
 [2] " expect clicked title "                                                                                                                                                                                                                               
 [3] " "                                                                                                                                                                                                                                                    
 [4] "cast kristen holly smith danica sheridan alex boling michael dotson sonya hensley janet krajeski sabrina lu dionysius burbano calvin grant jeff b harmon written directed jeff b harmon running time minutes "                                        
 [5] " thought losing makes vomity inside "                                                                                                                                                                                                                 
 [6] " blatz balinski danica sheridan laments fact lesbian lover april kristen holly smith just received telegram exfiance "                                                                                                                                
 [7] "isle lesbos incredibly offensive musical comedy april pfferpot smith resident small town bumfuck arkansas get married high school sweetheart football hero dick dickson michael dotson "                                                              
 [8] " april gets extreme cold feet runs home sticks gun mouth pulls trigger "                                                                                                                                                                              
 [9] "instead killing magically transported mirror isle lesbos alternate dimension lesbians rule men allowed except lance homosexual toilet cleanerslave "                                                                                                  
[10] "april loves new home friends dick parents ready give "                                                                                                                                                                                                
[11] "mr ms pfferpot director jeff b harmon janet krajeski decide need medical help enlist aid dr sigmoid colon also jeff b harmon claims can cure homosexuality "                                                                                          
[12] " actuality dr colon homosexual well begins special treatment dick dickson unbeknownst dick "                                                                                                                                                          
[13] " april turns dicks demand return bumfuck decides take matters hands attack isle lesbos rambostyle "                                                                                                                                                   
[14] "instead leveling place falls love lance alex boling two along april lover blatz get married "                                                                                                                                                         
[15] " note filmmaker character lance make asides camera followed silence im assuming inserted purpose waiting laughter audience subsided "                                                                                                                 
[16] "aprils parents feeling like recourse call favor president clinton send nuclear bomb whose circuitry inexplicably made homosexual performer way "                                                                                                      
[17] " bomb dud thanks work circuitry rewire send back washington d c destroying "                                                                                                                                                                          
[18] "mr ms pfferpot give trying get daughter back instead decide join alternative sexual practices "                                                                                                                                                       
[19] "im sure writerdirectorcostar jeff b harmon purposely trying offend people believes ideas movie presents just going cheap laughs "                                                                                                                     
[20] "either way manages present offensive material ever seen movie "                                                                                                                                                                                       
[21] " film opens preacher running small africanamerican child town later moves hanging michael jackson impersonator ku klux klan jaunty musical number preceded remarks gays straights finally able put differences behind work together hate others jews "
[22] " harmon merely trying point idiotic society can apologize harsh elements film presented mean spiritedly cant help feel like serious intent "                                                                                                          
[23] " entire central theme movie im afraid one just dont get "                                                                                                                                                                                             
[24] " tried keep open mind watching homosexual elements just prevalent tastes "                                                                                                                                                                            
[25] " hard enough watch bash races sexes without preaching virtues homosexual accepted society "                                                                                                                                                           
[26] " one expect accepted just guilty nonacceptance "                                                                                                                                                                                                      
[27] "im prone judging anyone believe people free explore whatever avenues wish free scornful eye society dont force particular rhetoric throat arent going show respect preferences wish "                                                                 
[28] " maybe im missing satirical point harmon trying make think handled little tactfully "                                                                                                                                                                 
[29] " far musical comedies go isle lesbos trey parker matt stone musical good portion songs maddeningly catchy "                                                                                                                                           
[30] "despite disturbing visuals mom apple pie stuck rest day "                                                                                                                                                                                             
[31] "speaking disturbing visuals wedding bells aint ringing decent song accompanying visuals spousal abuse harrowing film displaying "                                                                                                                     
[32] " im lesbian touted press release particularly popular also pretty good good portion due stellar singing voice ms smith "                                                                                                                              
[33] " mainly excellent vocals rating film based "                                                                                                                                                                                                          
[34] " performers decent save rosie odonnell like performance given danica sheridan "                                                                                                                                                                       
[35] " inherent problem character just singing voice leaves little desired "                                                                                                                                                                                
[36] "one particular musical number lesbian rock one lowest points ever experienced filmgoing life thanks strained lackluster vocal job sheridan "                                                                                                          
[37] " film ends twenty minutes credits actually roll "                                                                                                                                                                                                     
[38] " remainder running time padded songs lesbian rock included ridiculously presented antinukes message tacked end reason make feature length film "                                                                                                      
[39] " isle lesbos reprise reached felt story already wrapped well enough end "                                                                                                                                                                             
[40] " film needlessly stretched past obvious end "                                                                                                                                                                                                         
[41] "isle lesbos available videocassette www indieunderground com "                                                                                                                                                                                        
[42] " transfer pretty clean detail wrinkled cloth paint backdrops readily apparent film letterboxed approximately "                                                                                                                                        
[43] " many respects isle lesbos incredible cult potential like rocky horror new millennium "                                                                                                                                                               
[44] " film means cup tea know will enjoy "                                                                                                                                                                                                                 
[45] " think might means seek "                                                                                                                                                                                                                             
[46] " hand will cleansing palette good action film like gladiator "                                                                                                                                                                                        
[47] "wait arent gladiator films considered "                                                                                                                                                                                                               
[48] "oh never mind "                                                                                                                                                                                                                                       
