 [1] " days lack originality hollywood reflects deluge remakes "                                                                                                 
 [2] " years ago wes craven publicly made fun practice sequels popular among hollywood producers "                                                               
 [3] "sequels also used popular among directors movie stars whose careers went south "                                                                           
 [4] " way regain popularity prestige thought use formulas characters story lines brought success first place "                                                  
 [5] "one celebrity eddie murphy black comedian s whose career big decline first part decade "                                                                   
 [6] " order return spotlight chose resurrect franchise created popular film beverly hills cop action comedy already spawned sequel "                            
 [7] "seven years later third instalment used directorial service john landis another fading star successfully collaborated twice trading places coming america "
 [8] " time however third time wasnt charm beverly hills iii failure "                                                                                           
 [9] "eddie murphy wait years real comeback "                                                                                                                    
[10] "eddie murphy plays axel foley fasttalking streetwise detroit policeman raids illegal chop shop "                                                           
[11] " routine police action ends tragedy criminals kill foleys boss "                                                                                           
[12] "determined bring killers justice foley realises leader ellis de wald timothy carhart "                                                                     
[13] " turns de wald happens security chief wonderland theme park los angeles foley goes back los angeles "                                                      
[14] " help old friend local policeman rosewood judge rheinhold foley clash money counterfeit ring "                                                             
[15] "ten years passed since original times definitely different "                                                                                               
[16] " decade contrast blue collar detroit yuppie beverly hills provided lot gags film simply doesnt work "                                                      
[17] "screenwriter steven e de souza provides another conflict time childish sillyness good guys businesslike professionalism bad guys "                         
[18] "since foley belongs former character watch language tone film general infantile "                                                                          
[19] "unfortunately film still belongs action movie genre much violence little children "                                                                        
[20] "nice example humorous scene beginning turns standard ramboesque bloodbath "                                                                                
[21] "unlike donner lethal weapon series landis simply cant balance comedy regular action result film fails aspects "                                            
[22] "action scenes sometimes interesting spectacular end scenery wonderland fascinating action humour hand falls flat "                                         
[23] " make even worse minor characters film gets unnecessary sometimes irritating overexposure especially art expert turned arms dealer played bronson pinchot "
[24] " end although film provided entertainment viewers least critical ones probably happy know arent plans beverly hills iv "                                   
