 [1] " first review post newsgroup kind feel like say something negative film "                                                                                                                                
 [2] " one else seems care takes certain liberties taken historical story "                                                                                                                                    
 [3] "however even one thinks fiction prince egypt remains shallow "                                                                                                                                           
 [4] " ill begin beginning "                                                                                                                                                                                   
 [5] " biggest difference original biblical story version moses semblance divinity bible whereas animated version gives impression reluctant hero "                                                            
 [6] "maybe just knew god side id little bit confidence "                                                                                                                                                      
 [7] " differences well lack important female characters passing original pharoahs death like nothing thing "                                                                                                  
 [8] " though storys focus shifted "                                                                                                                                                                           
 [9] "rather story fatherson manethnicity mangod prince egypt almost solely brotherbrother relationship rameses moses "                                                                                        
[10] " originally excited story element saw movie came maudlin "                                                                                                                                               
[11] "rameses moses squabble like children interests peace moses saves rameses butt even though moses one started "                                                                                            
[12] " yawn didnt care anymore time moses ran murdering overseer course never happened original story moses exiled "                                                                                           
[13] " enough differences "                                                                                                                                                                                    
[14] "lets talk movie "                                                                                                                                                                                        
[15] " features moses interests making character human lacks divinity whatsoever isnt convincing anyone knows god "                                                                                            
[16] " features cookiecutter iwannapleasedada rameses least given dignity voicework ralph fiennes schindlers list among things "                                                                               
[17] " film also features extremely annoying character way newimproved miriam voiced everantsy sandra bullock even though irritating thing tendency burst song apparent reason bullock replaced singing voice "
[18] "speaking contains annoying music "                                                                                                                                                                       
[19] " contains shallow writing "                                                                                                                                                                              
[20] " features extraordinary animation one good thing can say film "                                                                                                                                          
[21] " contains attempt commercialize homogenize massmarket story manifestation god "                                                                                                                          
[22] " christian got impression blasphemy "                                                                                                                                                                    
[23] " writers producers took butcher knife chopchopped story "                                                                                                                                                
