 [1] "sylvester stallone made crap films lifetime got one worst "                                                                                                                                                                                                        
 [2] " totally dull story thinks can use various explosions make interesting specialist exciting episode dragnet well acted "                                                                                                                                            
 [3] "even attempts film noir mood destroyed sappy script stupid unlikable characters just plain nothingness "                                                                                                                                                           
 [4] " knew big explosion boring anticlimactic "                                                                                                                                                                                                                         
 [5] "unless saw blown away "                                                                                                                                                                                                                                            
 [6] " specliast title none action star sylvester stallone comeback think plays quiet hermitlike bomber bomb expert army something suffered change heart assistant james woods shows us exactly overthetop another bad sly film accidentally killed innocent people job "
 [7] " credo killing bad people innocents "                                                                                                                                                                                                                              
 [8] " thats makes big bombs "                                                                                                                                                                                                                                           
 [9] " anyway life steps seductive sharon stone basically girlfriendmoll stupid son eric roberts cubanmiami kingpin rod steiger indecipherable accent sometimes cuban sometimes brando sometimes scottish etc "                                                          
[10] "turns sharon actually using boyfriend can kill since killed parents young "                                                                                                                                                                                        
[11] " calls sly leaves messages sends email etc planting bomb kill roberts sly listens obsessively works naked "                                                                                                                                                        
[12] "yea "                                                                                                                                                                                                                                                              
[13] "also life though comes woods tipped stone catch sly "                                                                                                                                                                                                              
[14] "using cops tries set traps none really work sly calls goes ballisitic ass phone getting worked saying mustbeimprovised speeches seems pop vein head wide open "                                                                                                    
[15] " exciting scenes film woods becomes ounce entertainment film "                                                                                                                                                                                                     
[16] " film tries offer us moody film noir except explosions comes completely snakeeyes "                                                                                                                                                                                
[17] " just pretend film noir making big waste time "                                                                                                                                                                                                                    
[18] " action buffs action scenes pretty lame really unrealisticlooking special effects penthouse blown hotel looks like piece cardboard falling tub "                                                                                                                   
[19] " theres muchdiscussed sex scene sly stone mispaired couple rachel ross friends "                                                                                                                                                                                   
[20] " sex scene nauseating sexy shows us sly stone "                                                                                                                                                                                                                    
[21] "now lets guess wed rather see naked okay "                                                                                                                                                                                                                         
[22] "stones small perky breasts weve seen times harvey keitels dick stallones veiny ass isnt usually shown good reason "                                                                                                                                                
[23] " know cant really judge flaw film come "                                                                                                                                                                                                                           
[24] " worst flaw film boring "                                                                                                                                                                                                                                          
[25] " mean caffeine watching friend fell asleep woken james woods ranting "                                                                                                                                                                                             
[26] " good movie james woods going nuts make "                                                                                                                                                                                                                          
[27] " youre fun action rent slys earlier demolition man sucks much entertaining fashion "                                                                                                                                                                               
[28] "skip dull film unless want see woods make fun steigers accent see stones breasts "                                                                                                                                                                                 
