 [1] " houston serious problem "                                                                                  
 [2] " making mission impossible brian de palma lot live "                                                        
 [3] " making epic science fiction inviting great cast talented crew hopes reach modern audience "                
 [4] " possibilities certainly result great disaster "                                                            
 [5] "starting near future prologue copied apollo de palma slowly builds story "                                  
 [6] " human race already set foot mars "                                                                         
 [7] " research expedition vanished without trace red planet another one sent find happened "                     
 [8] " basically whole plot "                                                                                     
 [9] " hard imagine can stretched hours "                                                                         
[10] " de palma manages "                                                                                         
[11] " good achievement "                                                                                         
[12] " follow expedition mars watch slowly float space hardest thing stay awake "                                 
[13] " films major problem tries seem clever "                                                                    
[14] "david mamets dialogue trying seem natural distant simply fake "                                             
[15] "de palma mamet wanted combine action thought provoking plot "                                               
[16] " result like unsuccessful mutation kubricks space odyssey apollo godzilla "                                 
[17] " make time pass creators inserted several refreshing scientific details convince halfcrazed frog "          
[18] " consists multiple copies direct rippoffs several great science fiction films stories "                     
[19] " finally presents almost original idea falls flat uncovered stupidity "                                     
[20] " cant even call film predictable since one healthy imagination can come something like "                    
[21] "sometimes gets cheesy youll start laughing youre supposed cry cry youre supposed laugh "                    
[22] "youll see enormous sandstorms hear mysterious sounds last least constantly surprising tour youll see alien "
[23] " really hard find comparisons experience know ive never said thought never lost space actually better "     
[24] "thats achievement "                                                                                         
[25] "director brian de palma stroke gold untouchables became instant american classic "                          
[26] " film will remembered failures will forgotten "                                                             
[27] "hell live fight another day "                                                                               
[28] " send actors condolences since truly try transform undeveloped dull characters "                            
[29] " cinematography production design art direction decent "                                                    
[30] " achievement people rate film "                                                                             
[31] "unfortunately hard work vain "                                                                              
[32] " problems insomnia recommend film "                                                                         
[33] " youre asleep within first half hour consult doctor "                                                       
