 [1] "synopsis man whose lover paris murdered agrees test experimental virtual reality home unit system "                                                                         
 [2] " subject escapes real world current girlfriend laura becomes addicted virtual reality due design flaw unit recreates dead paris "                                           
 [3] "comments virtual seduction executive produced roger corman lance h robbins serves cheaplymade precursor strange days far superior film "                                    
 [4] " movies deal desperate men trouble relating current lovers ab using technology former lovers strange days technology utilized recorded dreams rather virtual reality "      
 [5] "interestingly films also take place couple years now turn new millenium though strange days uses setting far effectively "                                                  
 [6] " exemplifies problem virtual seduction "                                                                                                                                    
 [7] " bad lowbudget science fiction concerning psychological dangers virtual reality "                                                                                           
 [8] "unfortunately done since much better films fact ultimately leaves scifi fan bored movie "                                                                                   
 [9] "virtual seduction many faults one fact video inexplicably trailer begins "                                                                                                  
[10] " films script explores possibilities virtual reality interestingly first treatment subject matter gets heavyhanded wooden movie progresses "                                
[11] "many important scenes seem dark lighting improved significantly "                                                                                                           
[12] " cast collection veteran bmovie actors sitcom regulars mediocre job roles "                                                                                                 
[13] "jeff fahey original lawnmower man convincingly though unenergetically plays lead character "                                                                                
[14] "carrie genzel plays paris vr lover ami dolenz current love interest seems like much interesting attractive character caring personality doesnt lend credence films premise "
[15] "meschach taylor popular designing women sitcom adequately plays scientist working project performance isnt something write home either "                                    
[16] "virtual seduction one harmless movies light manual labor mind background "                                                                                                  
[17] " words one fold laundry glancing every now rather boring just sit watch "                                                                                                   
[18] " movie surprisingly violent one expects bmovies genre still adult rrated film due sexual situations suicide attempt "                                                       
[19] " turkey ultimately isnt awful particularly interesting unique either "                                                                                                      
[20] "dont seduced watching movie unless youve got several loads laundry nothing else watch "                                                                                     
