 [1] " grateful songs grace chan comfort us "                                                                                                                   
 [2] "starring lee kangsheng yang kueimei directed tsai mingliang written tsai yang pingying cinematography liao pengjung "                                     
 [3] "taiwan "                                                                                                                                                  
 [4] " millenium approaches "                                                                                                                                   
 [5] " incessant downpour batters unnamed city "                                                                                                                
 [6] "sectors city sealed quarantined due onset mysterious virus "                                                                                              
 [7] " virus causes people act like insects crawl fours hide bright lights huddle damp corners "                                                                
 [8] " water supply quarantined zones will cut weeks time "                                                                                                     
 [9] "residents advised evacuate area asap "                                                                                                                    
[10] " premisekafka way cronenbergis background hole great movie sadly ends waste good ideas "                                                                  
[11] " quick sketch suggests dark absurd hallucinatory nearfuture parable life late th century execution however nothing like "                                 
[12] " virus evacuation visual possiblities deluge relegated background "                                                                                       
[13] "instead hole focuses livesfor want better wordof man lee kangsheng woman yang kueimei live apartment building personalities "                             
[14] " entire movie taks place settings uniformly ugly sterile charmless rooms corridors postindustrial apartment complex photographed look dim dingy possible "
[15] " vivid setting unappealing one especially monotonous hiss falling rain gurgle drainage pipes background "                                                 
[16] " man lives apartment directly womans "                                                                                                                    
[17] "one day repairman investigating leak leaves small hole floor mans living room opening ceiling womans living room "                                        
[18] " holesymbol solitary opening characters lonely compartmented livesallows interact unusual mostly nonverbal ways "                                         
[19] "example man suffering onset virus assumeeverything obscure movie vomits hole "                                                                            
[20] " woman wandering around dark accidentally puts hand vomit cleans "                                                                                        
[21] " passes meaningful communication "                                                                                                                        
[22] " say romance dead "                                                                                                                                       
[23] "much film even focus interactions "                                                                                                                       
[24] " almost dialogue learn next nothing people "                                                                                                              
[25] " ciphers "                                                                                                                                                
[26] "instead treated long takes witness miserable lives watch instance woman boils water pours onto noodles eats noodles "                                     
[27] " fascinating sounds "                                                                                                                                     
[28] "offered counterpointor perhaps reliefto dreary sequences series musical numbers fantasies woman lipsynchs pop songs grace chan popular im told s china "  
[29] " prances around grimy hallways grungy stairwells incronguously lit cheerfully bright spotlights "                                                         
[30] "sometimes fantasies joined man "                                                                                                                          
[31] " scenes presumably intended bright fanciful sharply contrasting dreariness reality fail "                                                                 
[32] " man woman dance seems halfhearted listless "                                                                                                             
[33] "astaire rogers "                                                                                                                                          
[34] "even imagination people numb weary boring "                                                                                                               
[35] " hole part collection series group films commissioned french tv station la sept arte subject millenium "                                                  
[36] "others include canadas last night brazils midnight american hal hartleys book life "                                                                      
[37] " book life one seen infinitely superior taiwanese entry "                                                                                                 
[38] "witty energetic humane makes hole seem ahem empty "                                                                                                       
[39] "american movies nothing say try disguise lack content flashy movements quick cuts superficial emotions "                                                  
[40] "foreign movies nothing say hole point camera something minimal interest unbelievably long periods time call art "                                         
[41] " hole selfevidently film alienation perhaps director tsai mingliang wants audience share characters alienation "                                          
[42] " succeeds "                                                                                                                                               
[43] "perhaps challenge dares us enjoy movie despite best attempts ensure dont "                                                                                
[44] " challenge wasnt "                                                                                                                                        
