 [1] "cradle will rock latest effort directoractor tim robbins "                                                                                                                                                                                   
 [2] " may oscar worthy film back dead man walking gets little overconfident sloppy "                                                                                                                                                              
 [3] " story confusing filled many subplots ill try best explain simply possible "                                                                                                                                                                 
 [4] " film based mostly true story federal theater s produced play cradle will rock apparently offensive government shuts "                                                                                                                       
 [5] " time depression theater wants entertain cheer jobs poor "                                                                                                                                                                                   
 [6] " conflict lies seems like subplots work theater associated "                                                                                                                                                                                 
 [7] "also along way messages mashed together create even overwhelming experience "                                                                                                                                                                
 [8] "tim robbins just keeps piling political views characters just give film cases walk "                                                                                                                                                         
 [9] " robbins may nice achievement seemed like friendly get together slightly sophisticated dialogue fancy outfits "                                                                                                                              
[10] " thought main reason seeing film outstanding cast unfortunately uninteresting except "                                                                                                                                                       
[11] "let recap important character please bear least can especially considering seeing "                                                                                                                                                          
[12] "ill begin involved play "                                                                                                                                                                                                                    
[13] "theres orson welles angus macfadyen course director play producer john houseman cary elwes marc blitzstein hank azaria writer play emily watson woman gets break playing main part cradle will rock "                                        
[14] "outside play theres ventriloquist bill murray wants relationship federal theater clerk joan cusack another subplot involving painter diego rivera ruben blades whos unhappy painting destroyed nelson rockefeller feels outrage john cusack "
[15] "theres actresses actors stories susan sarandon philip baker hall name mentioned significant story "                                                                                                                                          
[16] "anyway talented hollywood stars completely wasted except emily watson another great job one personal favorite actors john cusack always delivers thick thin "                                                                                
[17] "now although film weak say least nice moments involving subjects overblown "                                                                                                                                                                 
[18] "sure free speech segment nice feature becomes repetitive "                                                                                                                                                                                   
[19] " whole film like basically nothing headache "                                                                                                                                                                                                
[20] " brighter side tim robbins direction masterful "                                                                                                                                                                                             
[21] " camera direction seemed reminiscent works paul thomas andersons latest magnolia smoother opinion even cant make movie much better "                                                                                                         
[22] "although moments many theyre cradle will rock stays true title cradle rocked far tipped "                                                                                                                                                    
