 [1] " film inclined like outset two main characters involved fine television drama st "                                                                    
 [2] "elsewhere several years understood directorscreenwriter written show occasion also "                                                                  
 [3] " sorry report results expectations satisfactory "                                                                                                     
 [4] " list reason "                                                                                                                                        
 [5] " getting ahead besides immediately clear many problems film "                                                                                         
 [6] "adam arkin plays gradeschool teacher sardonic cynical somewhat abrasive good teacher "                                                                
 [7] " spends lunches playing basketball nearby court "                                                                                                     
 [8] "one day meets drifter david morse plays jack morrison st "                                                                                            
 [9] "elsewhere park inveigles game oneonone basketball "                                                                                                   
[10] "morse turns good friendship slowly develops two respective professions progress screenarkins teaching morses selling paper flowers passing motorists "
[11] " far major complaint lack dialogue constant intrusion musical soundtrack "                                                                            
[12] "good music sure doesnt replace dialogue setting mood telling storyit makes film somewhat minimalistic technique rarely admire "                       
[13] "suddenly friendship interrupted morses introduction fellow teacher arkins woman arkin long admired afar reticent approach "                           
[14] " appears begins admire morse enjoys attentions isnt sure itshe doesnt realize drifter knows nothing past causes friction arkin almost everyone else " 
[15] " vague dissatisfaction film "                                                                                                                         
[16] " conclusion begins evolve fullfledged failure "                                                                                                       
[17] " woman least appeared fairly shallow didnt realize shallow final scene arkin reveals trying make arkin jealous attentions morse "                     
[18] "somehow made appear arkins fault left feeling somehow victorious hes gotten find girlfriend "                                                         
[19] "frankly dropping spot seemed civilized action arkin make punching mouth least "                                                                       
[20] " childish confrontation morse arkin end seems almost natural "                                                                                        
[21] " summarize major gripe story spread thin creates semilikable characters outset suddenly jerks yearolds last moment "                                  
[22] " might truetolife people doesnt mean like "                                                                                                           
[23] " dont "                                                                                                                                               
[24] " "                                                                                                                                                    
[25] "avoid "                                                                                                                                               
