 [1] "s remembered era binary movie events hollywood two movies dealing subject precise high concept "                                                                                  
 [2] " summer high concept mad bomber action thriller "                                                                                                                                 
 [3] " weeks thrillride summer actionfest speed followed rather action thriller blown away disappointing people days associate title thriller nicole eggert nude scenes "               
 [4] " movie begins prison northern ireland gaerity tommy lee jones ira terrorist great talent make lethal explosive devices almost material escapes prison "                           
 [5] " comes boston accidentally notices jimmy dove jeff bridges dedicated bomb disposal expert within boston police "                                                                  
 [6] " people except gaerity know doves violent past used ira terrorist becoming sick violence betraying gaerity emigrating america changed name started using experience good purpose "
 [7] "gaerity holds dove personally responsible captivity begins campaign bombing terror directed specifically doves colleagues friends relatives "                                     
 [8] "dove just going retire start family now must confront mad bomber "                                                                                                                
 [9] " speed doesnt even try bother plot characters using excuse long spectacular action scenes blown away tries conventional provide action back story "                               
[10] " main reason inferior speed "                                                                                                                                                     
[11] "badly written plot badly written characters sometimes worse plot characters "                                                                                                     
[12] "screenplay john bateer john rice barely touches complicated issues northern ireland using tragedy cheap backstory even cheaper drama "                                            
[13] " plot course full implausibilities "                                                                                                                                              
[14] " main one fact movie fails explain single individual matter brilliant can produce thousands deadly devices hold entire city bay "                                                 
[15] " questions case speed forgotten action goes pauses action scenes filled cliched predictable situation provide background characters "                                             
[16] " movie seems little bit long boring times "                                                                                                                                       
[17] " annoying element film however tommy lee jones role mad bomber "                                                                                                                  
[18] " acting overthetop potentially fascinating villain turns pathetic caricature "                                                                                                    
[19] " role painful contrast strong performance given actor fugitive "                                                                                                                  
[20] " film bright points though "                                                                                                                                                      
[21] " action scenes fine credited director stephen hopkins predator ii judgement night "                                                                                               
[22] " forrest whitaker really shines minor role doves colleague "                                                                                                                      
[23] " blown away film justifiably shadowed famous yet hardly unforgettable competitor "                                                                                                
