 [1] " really two decades since walter matthau coached bad news bears "                                                                                                                      
 [2] "nineteen years two mighty ducks later formula still going strong "                                                                                                                     
 [3] "police academy graduate steve guttenberg stars smalltown deputy sheriff corralled cocoaching schools hastily formed soccer team "                                                      
 [4] " partnerincrime new british exchange teacher olivia dabo lively lass obviously seen dangerous minds knows best way gain respect disinterested outercity audience teach something neat "
 [5] "like soccer "                                                                                                                                                                          
 [6] " goodnatured gags fastmotion variety runaway cows outofcontrol lawnmowers "                                                                                                            
 [7] "kids will laugh occasional belching bit parents peacefully doze beside "                                                                                                               
 [8] " letting supporting character named newt go unscathed whats missing big green better integration music comedy "                                                                        
 [9] "instead peppy pop score arguably work better effect action set bombastic orchestral score belongs somewhere else "                                                                     
[10] "comedy needs music "                                                                                                                                                                   
[11] "just watch old bugs bunny short "                                                                                                                                                      
[12] " marx brothers knew "                                                                                                                                                                  
[13] "mel brooks knows "                                                                                                                                                                     
[14] "unfortunately current trend overscore "                                                                                                                                                
[15] "lush strings booming brass every scene every moment "                                                                                                                                  
[16] "remember simple strains bizets habanera original bad news bears "                                                                                                                      
[17] " days usually bellowing fanfare threatens smother every scene path "                                                                                                                   
[18] "much like adding frosting already frosted cake "                                                                                                                                       
[19] " awfully big adventure "                                                                                                                                                               
[20] " reteaming director mike newell star hugh grant far removed can get lightsome comedy four weddings funeral "                                                                           
[21] " second collaboration downbeat theatrical drama young intern georgina cates struggling survive postw w ii "                                                                            
[22] "liverpool "                                                                                                                                                                            
[23] "hugh plays gay director extremely unappealing character may alienate whatever fans left nonsense nine months "                                                                         
[24] "bleak makeup thick accents conspire make difficult story settle "                                                                                                                      
[25] " awful adventure without rewards tho "                                                                                                                                                 
[26] " peter pan subtext intriguing "                                                                                                                                                        
[27] " diverse ensemble cast includes peter firth alan rickman prunella scales "                                                                                                             
[28] "basil "                                                                                                                                                                                
[29] "devil blue dress "                                                                                                                                                                     
[30] " comparisons chinatown easy enough except fact film isnt nearly gripping "                                                                                                             
[31] "writerdirector carl franklin one false move force behind accomplishedbutstiff adaptation walter mosleys crime novel "                                                                  
[32] "denzel washington sturdy ever hes burdened miscast supporting cast "                                                                                                                   
[33] "tom sizemore scenestealer don cheadle fine "                                                                                                                                           
[34] " problems start jennifer beales never registers plots femme fatale "                                                                                                                   
[35] "shes pretty face nothing "                                                                                                                                                             
[36] "also underweight maury chaykin terry kinney "                                                                                                                                          
[37] " play opposing mayoral candidates los angeles neither actor commands enough authority stifle giggles "                                                                                 
[38] "john huston miss "                                                                                                                                                                     
[39] "fine period detail strong sense humor plus "                                                                                                                                           
[40] " help overcome pace thats polite mosleys jazzy swingin story "                                                                                                                         
[41] "steal big steal little "                                                                                                                                                               
[42] " cant say much one "                                                                                                                                                                   
[43] "director andrew davis follows fugitive wildly unfunny farce twin brothers andy garcia opposing moral codes "                                                                           
[44] "theyre fighting adoptive mothers estate acre ranch worth millions supporting dozens migrant farm workers "                                                                             
[45] " many different plots trying come togetherfeuding brothers reconciling husbands loanshark hired hitmenthat admire directors ambition "                                                 
[46] " bad almost every single person plotline sync "                                                                                                                                        
[47] " exception alan arkin "                                                                                                                                                                
[48] "hes best thing movie thatdespite work four credited writers still manages waste diverse talents david odgen stiers kevin mccarthy joe pantolinao "                                     
[49] " heck title mean "                                                                                                                                                                     
