 [1] "capsule insult "                                                                                                                                                                              
 [2] " stupid incompetent movie doesnt even benefit trashily enjoyable "                                                                                                                            
 [3] "weslely woody well leave resumes "                                                                                                                                                            
 [4] "money train one worst movies ever seen "                                                                                                                                                      
 [5] " simply idiotic contemptuous audience "                                                                                                                                                       
 [6] " tries make us swallow things better movie stopped cold just plain omit entirely "                                                                                                            
 [7] " waste wesley snipes woody harrelson enjoyable actors rights nauseating "                                                                                                                     
 [8] " even fun trash "                                                                                                                                                                             
 [9] "woody wesley star maybe thats right word new york city transit authority police "                                                                                                             
[10] " job actually core really interesting movie one plays drunk possum attract chainsnatchers lookout "                                                                                           
[11] " whole headful legal ethical questions surrounding raised documentary id seen subject movie waste time intelligent thoughtprovoking "                                                         
[12] "see can follow "                                                                                                                                                                              
[13] " chase kid tunnel station money train heavily armored car picks cash token books parked "                                                                                                     
[14] " guards train see kid running lift machine guns shout halt "                                                                                                                                  
[15] " open fire kid doesnt stop running "                                                                                                                                                          
[16] "blam kids dead "                                                                                                                                                                              
[17] " woody wesley show course ta cops hate pushing match starts someone gets decked covered face "                                                                                                
[18] "id seen enough "                                                                                                                                                                              
[19] "ive never seen movie work hard little time destroy systematically chance credible interesting "                                                                                               
[20] "fed bs job goddamned fault woody wesley hatch plot rob money train "                                                                                                                          
[21] "hence title case two didnt figure yet "                                                                                                                                                       
[22] " theres subplot maniac torches token book clerks love story holdup two holdups sorry easy lose track movie braindead mob boss wants money "                                                   
[23] " wasnt minute gave horses ass "                                                                                                                                                               
[24] "neither woody wesley play characters interesting single minute "                                                                                                                              
[25] " care "                                                                                                                                                                                       
[26] " interesting "                                                                                                                                                                                
[27] " noisy loud stupid foolish jerks whould flunked police academy "                                                                                                                              
[28] " deserve get shot run case may "                                                                                                                                                              
[29] " exist rehash kind dynamics written movie like white men cant jump simply exist "                                                                                                             
[30] " idiots expected root "                                                                                                                                                                       
[31] "bullcrap "                                                                                                                                                                                    
[32] " movie completely schizophrenic tone texture "                                                                                                                                                
[33] " exactly mess "                                                                                                                                                                               
[34] " cop movie "                                                                                                                                                                                  
[35] "police procedure given moments genuine thought anywhere "                                                                                                                                     
[36] " thriller "                                                                                                                                                                                   
[37] " subplot token booth killer inept throwaway ditched rewrite "                                                                                                                                 
[38] " comedy "                                                                                                                                                                                     
[39] " jokes work wasted "                                                                                                                                                                          
[40] " drama "                                                                                                                                                                                      
[41] " dramatic tension principals freezedried offtherack "                                                                                                                                         
[42] "theres moment movie felt like listening genuine human beings talk screenwriterese bizarre analect every sentence ends punchline primary mode expression unique conjunctions fourletter words "
[43] " actual dialogue excerpt fuck "                                                                                                                                                               
[44] " "                                                                                                                                                                                            
[45] " heard fuck "                                                                                                                                                                                 
[46] " fuck "                                                                                                                                                                                       
[47] "look ill honest "                                                                                                                                                                             
[48] "ive tried writing screenplays even suspect tried pitch mess id get laughed office "                                                                                                           
[49] "anyone interested hearing ideas good movies can write hear pitch god knows know can better "                                                                                                  
[50] "ive weasted enough time piece tripe "                                                                                                                                                         
