 [1] "remember back mid s crime macabre movies rage "                                                                                                                                                       
 [2] " pulp fiction fargo managed get oscar nominations best picture surprisingly slew ripoffs followed years thereafter "                                                                                  
 [3] " fad seems comes christopher mcquarrie writing directing way gun first glance looks like another wannabes upon closer inspection doesnt look like anything comprehendable "                           
 [4] " crime story wrapped little world claustrophobic atmosphere film wont allow story much room expand outside handful characters somehow still manages turn simple premise something complex ridiculous "
 [5] "complexity come surprise anyone whos familiar mcquarrie wrote usual suspects become cult favorite despite little critical acclaim "                                                                   
 [6] " film great story well directed elaborate confusing screenplay leaves many viewers scratching heads repeated viewings "                                                                               
 [7] " wonder mcquarrie really everything mapped going hollywood idea really confusing criminals cops makes fascinating "                                                                                   
 [8] " way gun mcquarrie seems capitalizing idea time story far less commercial shame maybe helped "                                                                                                        
 [9] " film tells story two drifters ambition barely reason live arent hellbent death either played ryan phillipie benecio del toro "                                                                       
[10] " get lucky hear scheme bigshot exec guy trophy wife going baby vitro fertilization "                                                                                                                  
[11] " figure can kidnap surrogate mother played juliette lewis get nice ransom "                                                                                                                           
[12] "along way continually learn shady dealings exec wife hired goons bag man played james caan actor film looks like knows hes "                                                                          
[13] " exec kind money launderer obviously cant call authorities help "                                                                                                                                     
[14] " goons bag man kidnappers trail make different offers get mother back "                                                                                                                               
[15] " execs son doctor also gets pulled fray wants make sure patient right "                                                                                                                               
[16] "meanwhile characters something hidden collective sleeves doublecrosses secret love affairs torrid pasts come surprise even though little relevance "                                                  
[17] "mcquarrie doesnt know meaning word simple "                                                                                                                                                           
[18] " seems interested showing us clever making good movie "                                                                                                                                               
[19] "everything complicated confusing much point surrealism "                                                                                                                                              
[20] "nothing seems reality one movies get dropped right middle criminal world expected know industrys rules regulations "                                                                                  
[21] "every scene caans character exemplifies perfectly kidnappers already know even chat getting conversations business works hardly given clue theyre talking "                                           
[22] " characters probably supposed great criminal sketches theyre like ideas rippedoff sketches found david mamets trash "                                                                                 
[23] " one really acts like real person story even removed reality "                                                                                                                                        
[24] " like dream without appeal "                                                                                                                                                                          
[25] "take opening scene example phillipe del toro characters parking lot across street bar club counting money stuff "                                                                                     
[26] " sit brandnew mercedes car alarm goes owner waiting line yells get away car dont move "                                                                                                               
[27] " guy loudmouth pottymouth girlfriend people cross street gang "                                                                                                                                       
[28] "youd think phillipe del toro going pull guns scare away dont instead phillipe throws one punch two get beat mob "                                                                                     
[29] "theres lot things didnt understand scene first owner mercedes isnt yuppie old rich snob hes like hippie straight s "                                                                                  
[30] "secondly two main characters seem believe can actually take mob unarmed "                                                                                                                             
[31] "lastly serves purpose long run later film two packing artillery small countrys army "                                                                                                                 
[32] " suicidal wouldnt gone kidnapping job first place get guns never explained either "                                                                                                                   
[33] "theres lot pick apart film exercise futility "                                                                                                                                                        
[34] " comes nothing seems great movie pretty much story "                                                                                                                                                  
[35] "absolutely none characters likable believable "                                                                                                                                                       
[36] " coated thin layer black comedy good chuckle film definitely flatout black comedy use seems like desperate attempt kill screen time "                                                                 
[37] " film see whether like can least understand appeal someone want make someone want see "                                                                                                               
[38] " cant say either way gun little going cant imagine anyone intelligently defending "                                                                                                                   
