 [1] " won\022t even pretend seen alien films "                                                                                                                                                                                                              
 [2] " saw glimpses alien aliens fragments alien means actually sat watched "                                                                                                                                                                                
 [3] " take opinion unbiased impartial perspective alien resurrection worth large bag lollies munching hard day\022s work "                                                                                                                                  
 [4] " didn\022t just dislike much plot awful acting average special effects got tiresome minutes painful viewing \026 also fact every tedious ingredient thrown attempts give pointless dribble meaning "                                                   
 [5] "sigourney weaver \022s role alien earned academy award nomination plays character \023ripley \024 died fighting extraterrestrial scum alien years later scientists\022 use sample blood found site death recreate ripley including alien stuck inside "
 [6] " time remove alien body separate two yet ripley now completely human possessing strange amounts strength able withhold greater pain normal "                                                                                                           
 [7] "\022m sure someone can explain exactly now \022ll just ignore move "                                                                                                                                                                                   
 [8] " ask ripley alien inside recreated "                                                                                                                                                                                                                   
 [9] "well smart little lab researchers believed able discover many advancements science studying alien creature "                                                                                                                                           
[10] " people said control alien danger research "                                                                                                                                                                                                           
[11] " yawn wrong "                                                                                                                                                                                                                                          
[12] " doesn\022t take genius figure rest film continuous cat mouse chase humans die one one aliens open mouths every possible occasion show frightfully scary unflossed teeth "                                                                             
[13] "\022s little saying goes something like \023 \022re going make bad film well \024 "                                                                                                                                                                    
[14] " seen plenty disappointing underachieving movies ones really bother "                                                                                                                                                                                  
[15] "alien resurrection good example film really gets nose much discouraging experience putting one "                                                                                                                                                       
[16] " way describe australian ma rating given film unnecessary repulsive gore attempts distract us wanderingbutnotgoinganywhere plot "                                                                                                                      
[17] " one scene stomach churned witnessed mawkish looking alien put hand characters head literally ripped face "                                                                                                                                            
[18] "another one featured ripley sticking knife hand just impress someone talking "                                                                                                                                                                         
[19] "fair enough horror film even bared significance story unfortunately case sort bizarre gore inexcusable "                                                                                                                                               
[20] " think \022m struggling find one good aspect film thought right "                                                                                                                                                                                      
[21] "one exciting scene credit part remotely worth seeing film alien chases two men one cripple tall ladder interesting results "                                                                                                                           
[22] " course thrilling scene alien resurrection problem returning pathetically low standard ends crashing shores movie dullness often japanese kamikaze jet fighters fall skis "                                                                            
[23] " film one liners come bad \023earth man shit hole\024 primary means one mans strategic attack bounce bullets walls hit opponent wonder alien resurrection turned putting clumsy "                                                                      
[24] "oh case \022re wondering bag lollies \026 less enjoy film eat "                                                                                                                                                                                        
[25] " lollies gone minutes however empty bag turned still long way ahead movie\005 "                                                                                                                                                                        
