 [1] " tough aspiring superhero champion city "                                                                                                                                                                                                                                                                                                                                                       
 [2] "just ask mr furious ben stiller blue raja hank azaria shoveler william h macy "                                                                                                                                                                                                                                                                                                                 
 [3] "theyre trying break biz captain amazing greg kinnear citys hero numero uno hogs action "                                                                                                                                                                                                                                                                                                        
 [4] " good captain problems "                                                                                                                                                                                                                                                                                                                                                                        
 [5] " hes eliminated crime amazings endorsement deals falling "                                                                                                                                                                                                                                                                                                                                      
 [6] " public craves major slugfest amazing engineers parole onetime arch enemy casanova frankenstein geoffrey rush "                                                                                                                                                                                                                                                                                 
 [7] "frankenstein succeeds beyond expectations captures capt amazing setting scheme destroy city "                                                                                                                                                                                                                                                                                                   
 [8] " one left save day wouldbe superheroes abilities little league justice league "                                                                                                                                                                                                                                                                                                                 
 [9] " raja hurls forks foes shoveler hits shovel mr furious just yells people stiller essentially character played guest appearance friends "                                                                                                                                                                                                                                                        
[10] " painful first strike guys hold auditions teammates add bowler janeane garofalo carries dead fathers skull bowling ball invisible boy kel mitchell can use powers one looking spleen paul reubens blows devastating winds rear sphinx wes studi mysterious figure will teach fight "                                                                                                            
[11] " mystery men boasts one talented eclectic casts ever assembled "                                                                                                                                                                                                                                                                                                                                
[12] " addition already mentioned credits include lena olin frankensteins evil shrink comedian eddie izzard fugees prakazrel michel discothemed thugs singer tom waits inventor superhero weapons artie lange mad tv another thug claire forlani meet joe black waitress mr furious pursuing louise lasser mary hartman mary hartman blue rajas mother actormagician ricky jay capt amazings manager "
[13] " cast includes four oscarnominated actors "                                                                                                                                                                                                                                                                                                                                                     
[14] " saw list players early last year figured result cantmiss comedy "                                                                                                                                                                                                                                                                                                                              
[15] "yet must report disappointment "                                                                                                                                                                                                                                                                                                                                                                
[16] " script probably worst "                                                                                                                                                                                                                                                                                                                                                                        
[17] "nearly every joke misfires "                                                                                                                                                                                                                                                                                                                                                                    
[18] " stabs comic books obvious funny "                                                                                                                                                                                                                                                                                                                                                              
[19] " example one can recognize capt amazing secret identity hes wearing glasses "                                                                                                                                                                                                                                                                                                                   
[20] " fart jokes surrounding spleen surprisingly gags work "                                                                                                                                                                                                                                                                                                                                         
[21] " cast tries hard especially hank azaria whose character adopts effete british accent costume script just lame run "                                                                                                                                                                                                                                                                             
