 [1] " season needs another serial killer movie like kathie lee gifford needs public devastation "                                                                  
 [2] " lo behold comes switchback fast heels stalker fare kiss girls know last summer "                                                                             
 [3] " switchback undoubtedly weak genre entry material covers old tired filmmakers rarely sustain enough energy make proceedings interesting "                     
 [4] " switchback opens murder babysitter abduction young child shes watching "                                                                                     
 [5] " learn late game kid belongs fbi agent frank lacrosse dennis quaid kidnapperkiller nameless fiend lacrosse tracking across country quite "                    
 [6] " promptly removed case conflict interest doesnt keep offering pursuit "                                                                                       
 [7] "lacrosses recent trek takes bloodsoaked hotel room amarillo texas local sheriff r lee ermey torn reelection campaign helping new ally catch man "             
 [8] " related aside former railway worker bob goodall danny glover cruising snowbound west pinupplastered even seatbelts el dorado "                               
 [9] "along way picks subsequently saves life hitchhiking loner lane dixon jared leto "                                                                             
[10] " tangent isnt random one bob lane will end either holding piece puzzle turn killer "                                                                          
[11] " villain fact lacrosse pretending coldhearted murderer knows much "                                                                                           
[12] " sense thats half basic problem switchback "                                                                                                                  
[13] " first hour movie presents evidence three men perpetrator given little insight likely fear well learn much fast therefore able make proper deduction "        
[14] " switchback decides explicitly reveal killers identity midpoint following contradictory character motivations muddle pacing generation suspense "             
[15] " acting burdensome area well probably performers instructed build personas exact opposite true selves "                                                       
[16] " danny glover grinning yeehawing way messy plot "                                                                                                             
[17] " dennis quaid "                                                                                                                                               
[18] " monotone stop "                                                                                                                                              
[19] "ermey solid supporting role thats interesting two leads thrown together charismatic leto claire danes object affection socalled life scenestealer tried true "
[20] " material standpoint switchback pretty empty "                                                                                                                
[21] " even firsttime director jeb stuart wrote fugitive die hard doesnt know knows wants look like movie provides great visuals "                                  
[22] " setonatrain climax looks good even though action illogical beautiful crisp cinematography captures rockies icy splendor "                                    
[23] "still thats enough turn lump coal diamond movies look will end leaving cold "                                                                                 
